t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-0.047731120023012164,0.46627186807931476,-0.0318207468621268,0.3108479138124052,-0.01060691586632532,0.10361597367015905,1.29952424462701,1.29952424462701,32.037347035045066,32.037347035045066,30.195436668475413,30.195436668475413,-0.002941631011098542,-0.001689269810612236,-0.007949133931322959,-0.009036712134516565,-0.013291509804382548,-0.02000180205267,0.0
1,-1.1802379563883747,-0.3512726518957988,-1.4575917803367,-1.1102793745657888,-0.6535555651848117,-0.5891175465580801,1.299449025043788,1.299449025043788,8.254686761268232,8.254686761268232,15.78823909171032,15.78823909171032,-0.017513214556032306,-0.02285220019298772,-0.022702121128281686,-0.03418434732955854,-0.020843853729056363,-0.028777407579965948,0.0
2,-0.15703731718250635,-1.0068588180441829,1.990866366561396,-0.6046987723876569,2.0279949273178772,0.12650374725636637,1.2959702285859875,1.2959702285859875,3.246345271233483,3.246345271233483,3.110292451377959,3.110292451377959,-0.05061847010338197,-0.0712121469105289,-0.041708069039731836,-0.06180113727356132,-0.014344476066101328,-0.029541850787827242,0.0
3,-1.5338415619792891,1.8495384886454245,-0.8066676089636795,3.263849132489649,-0.2629310896764374,1.9030439960122618,1.26658633267037,1.26658633267037,2.044294032815773,2.044294032815773,1.310917078142832,1.310917078142832,-0.09960986941519245,-0.14540098239100696,-0.05640867139705778,-0.0875065291142425,-0.01800115316889485,-0.03136035445676602,0.0
4,-0.7663131507722625,-0.36682233072203196,0.4209066477634815,-0.45352481053738014,0.29001445984242424,-0.18201064221928975,1.2254879400371843,1.2254879400371843,1.469004737795093,1.469004737795093,0.709247405320924,0.709247405320924,-0.16353974006556748,-0.25092037501450115,-0.07066851233027172,-0.1236374814387473,-0.012679777660748064,-0.037736324811507814,0.0
5,-0.31330529561937015,-1.0842608207033828,0.6293249202714125,-0.760494799317421,0.2651824639050974,-0.22003925712757302,1.1824524260082003,1.1824524260082003,1.1302731197837448,1.1302731197837448,0.43813509734869344,0.43813509734869344,-0.24252610686653145,-0.3945760371581756,-0.08926195813196552,-0.16477722343680742,-0.020947895066401885,-0.047325596702882514,0.0
6,1.0230443213386138,-0.11160640137345279,1.2482599704780242,0.1545421303040233,0.35646455803079646,0.0728550857857295,1.1409952301086062,1.1409952301086062,0.9082904108077648,0.9082904108077648,0.2944679251368241,0.2944679251368241,-0.3428929661987472,-0.5827002523387271,-0.11104582652928469,-0.20989302720267336,-0.017682026674462968,-0.0388682222603456,0.0
7,0.7786037414334477,-1.0780991247943508,0.7081903725686535,-0.3936358706547971,0.15558216091270896,-0.06629701938316293,1.1022940551153548,1.1022940551153548,0.7526414121799758,0.7526414121799758,0.2100059199361102,0.2100059199361102,-0.45922165579912017,-0.8117773074063791,-0.12113099094831324,-0.24715387642433875,-0.013377442520516605,-0.035493847475965554,0.0
8,-0.4368915520698464,-1.5122784819612514,-0.08795045088864706,-0.4634492783353419,-0.03296074521267356,-0.06699364022719197,1.06662134145703,1.06662134145703,0.6382264746053702,0.6382264746053702,0.1566293944990245,0.1566293944990245,-0.5855674770550228,-1.074509836116566,-0.13029521781890266,-0.27861052405008996,-0.012056874305824765,-0.0340147939589155,0.0
9,-0.8916636589977307,-1.2831354967208877,-0.27056081320504854,-0.22029119367136313,-0.05954903840053867,-0.011888888516316365,1.0338977488938632,1.0338977488938632,0.5511354621677451,0.5511354621677451,0.12107818275969305,0.12107818275969305,-0.7247007715397038,-1.370450324502812,-0.15045535310583355,-0.3145027928978808,-0.025223688864651934,-0.0401381073109513,0.0
10,-0.8404202592144476,-1.7796125459098537,-0.1937058836268499,-0.33702715464423477,-0.03755827257239293,-0.02879211686314968,1.0039185718688526,1.0039185718688526,0.48305733399261064,0.48305733399261064,0.09646284684474853,0.09646284684474853,-0.8838011112502914,-1.7073905412780763,-0.16563217509984096,-0.36143970370083306,-0.013613046921846431,-0.049460357555527724,0.0
11,-1.207137898513298,-2.8467286007977437,-0.28612066943325387,-0.6203725171482675,-0.045663668054837944,-0.06640396285229852,0.9764495091850107,0.9764495091850107,0.4287412049603641,0.4287412049603641,0.0789298648976613,0.0789298648976613,-1.0557121960296367,-2.093817913616073,-0.17518009155100236,-0.41220304997652446,-0.002242557830018482,-0.055887729267321135,0.0
12,-1.9640236216799607,-1.2560781199931221,-0.47901200717402326,0.050860291350766085,-0.06577803947276394,0.03437261007133188,0.9512672535918656,0.9512672535918656,0.38472386558541427,0.38472386558541427,0.0661927754671536,0.0661927754671536,-1.2309891248944442,-2.535081061846675,-0.17536034207244147,-0.4698670904490717,0.0004060856712407193,-0.05509844538354521,0.0
13,-2.2992282259684385,-1.979457304048686,-0.4907377331861209,-0.1568681764069365,-0.05889417920445092,0.0035397023957738395,0.9281758226508341,0.9281758226508341,0.34864222701754977,0.34864222701754977,0.05682544430384302,0.05682544430384302,-1.4048739263234595,-3.0311478721384786,-0.17216676390918417,-0.5221159630007618,0.0045257336216378286,-0.05062239409039105,0.0
14,-3.5925452594776948,-3.2364721285918048,-0.7711802343248184,-0.4690930327164382,-0.08540043477116799,-0.03423867488499713,0.9070119124625997,0.9070119124625997,0.31883861618664855,0.31883861618664855,0.0498973342477047,0.0498973342477047,-1.5762992637391249,-3.5789722895130005,-0.1714260833479881,-0.5716594702619017,-4.344915952554131e-06,-0.042030571315188406,0.0
15,-3.583606181263928,-3.9504765814869693,-0.6343563575358582,-0.5648530217218856,-0.06023362474177261,-0.04120593789217356,0.887645126519094,0.887645126519094,0.29412220039274267,0.29412220039274267,0.04477471544414351,0.04477471544414351,-1.7502449315309963,-4.171724688121504,-0.17576583576743232,-0.6151865333807648,-0.0015014560601641677,-0.05216823846197378,0.0
16,-2.981969038932669,-3.7950267115871092,-0.3704192105270653,-0.4163598296936622,-0.025218314502050136,-0.020715583840516128,0.8699756380463333,0.8699756380463333,0.2736179374429033,0.2736179374429033,0.04100805387200505,0.04100805387200505,-1.928626441512685,-4.813389127211878,-0.1805182894832029,-0.6702186007114773,-0.0019128530687247665,-0.06420512623265372,0.0
17,-2.623494239206687,-4.703287821780467,-0.21461813524963252,-0.5546321715832995,-0.006426619790954938,-0.03291919755933528,0.853930327968879,0.853930327968879,0.25666671724672735,0.25666671724672735,0.0382667491533375,0.0382667491533375,-2.1117038349640427,-5.515179166574218,-0.18347229751067773,-0.7343768563604242,0.007608984378966625,-0.06358444553965188,0.0
18,-3.031034608926652,-6.768293831209859,-0.2654554290115655,-0.9372752335336434,-0.010891300103128906,-0.06807753028502861,0.8394577429911264,0.8394577429911264,0.24275671765113568,0.24275671765113568,0.03630079849841797,0.03630079849841797,-2.286415767877492,-6.284263922654733,-0.16398194486909282,-0.8053328200723349,0.022279093025801108,-0.06957506032503352,0.0
19,-2.864759395171299,-7.839719426712709,-0.17764729625971837,-1.0279545333823825,-0.0012103969632366856,-0.0702944178152533,0.8265219409011537,0.8265219409011537,0.2314748090434381,0.2314748090434381,0.03491781335050842,0.03491781335050842,-2.437971677453354,-7.125469541589782,-0.14093900653006577,-0.8801772912075079,0.014488780764856095,-0.08391878093078826,0.0
20,-3.1504892015069257,-8.766326090012821,-0.20239107203889625,-1.0683618024335637,-0.003478431010674,-0.0674140379298191,0.8150952686624611,0.8150952686624611,0.22247181639272323,0.22247181639272323,0.033968586969781826,0.033968586969781826,-2.570551031732714,-8.047339270976131,-0.12257344561909479,-0.9617804440952206,0.022539226649811974,-0.07593131423757156,0.0
21,-3.087625127087806,-9.187459462783591,-0.14885640237659298,-0.9903711172114424,0.001955078828839688,-0.053556556322397975,0.805150280792935,0.805150280792935,0.2154382735739034,0.2154382735739034,0.03333732859410446,0.03333732859410446,-2.6825209049155183,-9.041765277402558,-0.10119603841147631,-1.026830217151739,0.019668929255679,-0.0596827745480864,0.0
22,-2.640262064045073,-10.71868476010647,-0.02228991497676218,-1.1515473143148123,0.013763100687374668,-0.063754459430326,0.7966512975602276,0.7966512975602276,0.21008878022695726,0.21008878022695726,0.03293452438158155,0.03293452438158155,-2.7762287031845823,-10.097157042991512,-0.08695279539990641,-1.0848233254329545,0.014655070229157581,-0.06180618305278001,0.0
23,-2.7427901390853324,-11.233600657123151,-0.026494238549190943,-1.0774296616123546,0.01206288560798212,-0.050707945879672874,0.7895464476004872,0.7895464476004872,0.2061536378229898,0.2061536378229898,0.03269145306686668,0.03269145306686668,-2.8584872787966504,-11.214552427211144,-0.07961052760719588,-1.1523551230477718,0.004223785697983731,-0.07184089194796701,0.0
24,-2.8742224822752016,-11.910138001142617,-0.03707540949313101,-1.0411592847888311,0.009916383901811968,-0.04246299570238757,0.7837613194138517,0.7837613194138517,0.20337644197409033,0.20337644197409033,0.03255590245784741,0.03255590245784741,-2.936487545682382,-12.402551177826266,-0.0779439500005051,-1.224134803209183,-0.0037644377707455948,-0.07530083161118573,0.0
25,-3.1090093907865923,-12.929929519707262,-0.06822726117405561,-1.0749901233870516,0.006008928556047345,-0.0416416853163057,0.779195416796693,0.779195416796693,0.2015160649224554,0.2015160649224554,0.032488827850294257,0.032488827850294257,-3.0135221632461597,-13.663517236834565,-0.07348548801732774,-1.2987184131111156,0.01459338843629291,-0.07693409441444433,0.0
26,-2.005739381306703,-15.164043750454502,0.17359832407641104,-1.3463558332944154,0.028550325568130665,-0.06360069582094058,0.7757223569564751,0.7757223569564751,0.20035124849871747,0.20035124849871747,0.03246174410266506,0.03246174410266506,-3.081523215660992,-15.000362070399744,-0.06545608859423861,-1.3745609397721492,0.002296735714680939,-0.0740942660575659,0.0
27,-1.4947498375736226,-16.580340431702666,0.26723297229420495,-1.4176390585286653,0.03480145960162617,-0.06433857737403557,0.7731941464508675,0.7731941464508675,0.19968601314508802,0.19968601314508802,0.032454656298461296,0.032454656298461296,-3.1460904284795745,-16.410989028462158,-0.06288130008808174,-1.4456071116465603,0.0039750590924229525,-0.0706236822454841,0.0
