t,rwm_x1,rwm_x2,cvm_x1,cvm_x2,cam_x1,cam_x2
0,4.783571577873419,5.28634314682053,5.265637356554563,5.301781965997815,5.276619143051466,5.409519524059309
1,4.9948841693081025,5.390935912075077,5.9822657067171745,5.936501844912201,6.089948966430085,6.093558454607786
2,4.930365301383128,5.292319696627772,6.074442062426186,6.098470825749639,6.239378600274263,6.358012942231358
3,4.953893067682323,5.309896210127555,6.08267815998967,6.1748456744173374,6.3085097565610395,6.509865955478493
4,4.925426427550224,5.279834342312958,5.968874161372017,6.153298492091675,6.265472459402623,6.542071934866593
5,4.95722255331235,5.247080293737874,5.95642891066378,6.1221183242524235,6.281726896860696,6.531407332034445
6,4.9193348120478015,5.178846683809672,5.866587989517646,6.045920599278868,6.236403133600679,6.492736629131361
7,4.8833788768031825,5.115979153439514,5.803656402021066,5.967803209087029,6.176723735191981,6.420942870539323
8,4.864470154809672,5.1010983700512895,5.760966790650898,5.954996662193292,6.172775218098056,6.415944756360849
9,4.843484891439399,5.050518100497721,5.707220744116566,5.880328191663097,6.135147474405995,6.348417051285674
10,4.8000518221126,5.005779534145737,5.6384097415976475,5.785912908011775,6.064052465448498,6.26509208044044
11,4.792005003028794,4.935935758416189,5.5930239496184235,5.711809209486104,6.031709223864243,6.186933378807399
12,4.766035935591105,4.8817634214481265,5.554072379457201,5.647540130269864,5.985699043708722,6.115997423981707
13,4.727519341908633,4.82897909219222,5.479374579495468,5.587234577878968,5.892802520569361,6.048765498195504
14,4.683530520287723,4.791427449106538,5.40378184505859,5.541102323316986,5.806401658371547,5.992340414940984
15,4.631073642185616,4.755802373609455,5.3232352561423,5.478680009191723,5.72441490265049,5.917155369328046
16,4.562964824461193,4.726491315343066,5.241690438478828,5.412919987929449,5.6288416169780335,5.834865534240898
17,4.506351107281786,4.678682989595881,5.164786351989919,5.332014932445292,5.546853288640204,5.736875934590674
18,4.456725540306945,4.614212760080123,5.098891272016692,5.247306986936792,5.475679738568759,5.638526542261775
19,4.423680580732047,4.566558393332551,5.055094469232828,5.183676276858084,5.419178036937892,5.562675598230746
20,4.409734736924961,4.519352937238961,5.012858978864668,5.122329789131835,5.365821500119827,5.4951373619828106
21,4.385859389667836,4.4776424840785936,4.961074147101794,5.063763212745159,5.308367355204015,5.4277970233251835
22,4.3565450992979615,4.440019172473614,4.914862191030676,5.007818394087779,5.259641736304765,5.3647102607983985
23,4.329711364019696,4.410513657142656,4.875600232444795,4.9585359491971746,5.215490622062163,5.311536452872867
