t,rwm_x1,rwm_x2,cvm_x1,cvm_x2,cam_x1,cam_x2
0,4.967544530795095,5.3872468944857825,5.041581846948714,5.588214531336989,5.19352271870978,5.536821472006295
1,4.968262658410407,5.51277189633253,5.667906522030844,6.44495661729548,5.874968821028673,6.49928885327887
2,4.945255621885168,5.498145359385361,6.00643206879638,6.50699218748811,6.230880074329411,6.622733758191541
3,4.993120022184948,5.368816891361317,6.0991886153567805,6.393144014183636,6.409812502483499,6.576505352041322
4,4.902881898045802,5.269407292296274,6.017343302985611,6.3167117151639856,6.418836190488,6.6766547444533675
5,4.824652068362798,5.243477204635656,5.92097518564829,6.206537456502128,6.399467967214822,6.621931809089839
6,4.900689073253846,5.171493438279676,5.930254526070075,6.064070220119085,6.450631038492946,6.4792633326671485
7,4.856057873152566,5.132779597635701,5.8824091699779615,5.985776859151217,6.406532192662369,6.4334822743831515
8,4.864315055325456,5.0971425191263355,5.856721972045388,5.9450170575325965,6.3744268315508625,6.382040535114271
9,4.814247546275059,5.023931619898272,5.769930803771791,5.857499182594502,6.271326138546977,6.29718629697798
10,4.740227336492214,4.964396131254046,5.670233705085027,5.811515239405041,6.159764400424706,6.242689187284988
11,4.694152141127586,4.907772960841161,5.583908011257298,5.735397209668508,6.05683933948618,6.152581945341979
12,4.629226983046524,4.856686490104738,5.49621935462328,5.657678140109831,5.96040828698036,6.067358809859818
13,4.584065571108605,4.801419277477533,5.417318190490752,5.571057125591849,5.870109657966208,5.971575729916796
14,4.524403269749476,4.748425819163951,5.341479971793304,5.494555315079643,5.789002109026622,5.887527648378386
15,4.490898788344814,4.705164975397603,5.285233422072586,5.429549086943343,5.722660571479858,5.81471263371009
16,4.455608791243346,4.655685643331214,5.228953448869952,5.36121473589897,5.654695096270062,5.73908996330774
17,4.431373201451999,4.627856904253039,5.184234921132248,5.307998817761534,5.599252722295729,5.682690846603017
18,4.401736403270069,4.584602780349888,5.140977868644743,5.250917658563018,5.544877934956726,5.613989697717646
19,4.374505505509661,4.537576939822,5.087336556501642,5.1856154374345245,5.4832509664901865,5.537564558074889
20,4.3299283465157705,4.502615670097641,5.02852806884155,5.147323795961933,5.415077723592122,5.487536714371446
21,4.29005985460607,4.471548887313321,4.972893457327044,5.1046733284518275,5.351414739152407,5.436812961935765
22,4.252036567928258,4.448636971317761,4.917454673944305,5.063153837814655,5.288303136694915,5.3904261338564865
23,4.230144260910808,4.429704731695422,4.879349292570628,5.032696497074017,5.242799571267563,5.3503558195527425
24,4.206768829294171,4.406576383996684,4.841014717659079,4.9874531240672475,5.1988072389359505,5.300085561903989
25,4.183494513494863,4.383397645744841,4.8000702789182075,4.948880214135948,5.149069834409362,5.260269955923702
26,4.166280117267877,4.3683161040292084,4.764263387232744,4.9159513568006545,5.102335077173423,5.220800493674079
27,4.144390466979818,4.349129818139197,4.7206673722168855,4.882307385107994,5.052458589959654,5.180544763999388
28,4.126710762486045,4.330952309316023,4.679802633550863,4.841603942719982,5.00469053466503,5.134419720739438
29,4.110407449237253,4.304458362767967,4.640261871722749,4.800287515928372,4.957507289212712,5.085265945522619
30,4.099315970090455,4.281225250881715,4.609893320996792,4.768836250278583,4.9171585972198,5.046932092010334
31,4.09237767411274,4.264265935070218,4.580632001803959,4.739969303568655,4.8794483813730745,5.009651551217903
32,4.084448377308788,4.239945498139007,4.551350646022315,4.703923666508675,4.843602893285545,4.967209276941456
33,4.077744757221995,4.22123881075819,4.525156682454287,4.675725268425549,4.810283163150659,4.931375019238464
34,4.067811391863001,4.20110467517409,4.498570068843476,4.643824661897738,4.776878493955478,4.893258250529589
35,4.056700379466214,4.1798477679079555,4.4661776508051005,4.61203884857928,4.739005225542072,4.856562580169225
36,4.052194968063221,4.1627709905995225,4.443087522723656,4.584129173521714,4.710444368417864,4.824219724742149
37,4.047116858212073,4.1490522414246005,4.422934004979748,4.556767491594688,4.683352136343265,4.793318660031591
38,4.04124103747846,4.13633761509308,4.399827763356553,4.52980108362278,4.654659001426807,4.761999511726873
39,4.033469511779253,4.121257254551721,4.37632485265217,4.504649435813927,4.625792765110456,4.7326758177999135
40,4.03016414834391,4.108628615298104,4.356589608102134,4.481278751877061,4.600735406641107,4.706075776422052
41,4.0261777472567495,4.100761493377636,4.338648530052768,4.462370207404081,4.57892642283427,4.685017424083851
42,4.030190964034706,4.093303881390309,4.324242814160447,4.441960333019964,4.558506749881227,4.662113625105558
43,4.033567515389338,4.080434253325146,4.310663993074584,4.417670808381461,4.540460130800381,4.634754088945553
44,4.035310526134761,4.072307312476683,4.297121613869211,4.3978219988758465,4.522957125961043,4.610463678196808
45,4.038518577674187,4.065205331680887,4.283427917933739,4.377809032122896,4.50698211981155,4.587539856133979
46,4.0387910294277365,4.066639651788465,4.271398015360129,4.364079911510129,4.491541642955554,4.571173553980813
47,4.038276124497126,4.074436945177961,4.256782305393846,4.356800724011477,4.4727370870924394,4.560706996928225
48,4.037967758047612,4.085048052426169,4.246401544532199,4.3519657149845035,4.459054263972753,4.55235947870831
49,4.041451568446256,4.095631449208687,4.236362502517194,4.346959456618115,4.4460795065137235,4.5429757533548845
50,4.045391657647186,4.100714791264015,4.222793484699838,4.337752576926655,4.428185097442822,4.530019971894469
51,4.048296650630069,4.1027614402591706,4.209647292529614,4.327562287275551,4.410553943896155,4.516001649532379
52,4.048173537753806,4.105169629318557,4.194429411190298,4.31669579757715,4.392305731410022,4.501162209678998
53,4.049187004254932,4.103000007109114,4.179603073950502,4.302540809111039,4.37431952541886,4.484121664907776
54,4.0535350662412775,4.098130106025393,4.170649619267862,4.288697343435845,4.361854910324539,4.467163049755453
