t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,1.3672184083092225,4.294778601018865,0.7775770533727832,2.442566066381866,8.757690468311583,8.757690468311583,27.32141609383405,27.32141609383405,-0.00318576187511128,-0.003062687208254285,-0.011912610027793157,-0.012125605524045407,-0.028857623291892398,-0.030303011498013937,0.0
1,-6.143581563782169,-4.332367270996679,-6.524008189804051,-6.66505668457223,8.605738539302871,8.605738539302871,13.230555529708727,13.230555529708727,-0.039804256252949616,-0.03527999754711773,-0.06280847428634413,-0.05106232669581779,-0.0472687007104889,-0.02612414030129442,0.0
2,-7.975402135607389,2.0878405915509815,-2.621646060318719,1.5906844986026958,8.289481911827028,8.289481911827028,8.695162879451027,8.695162879451026,-0.12370748625567098,-0.10253817373359099,-0.10747985023772455,-0.08425272635086285,-0.04804928875409038,-0.032142084147370985,0.0
3,-0.23859127041549222,8.560561769261504,4.360983228987811,5.954155422627903,8.210923507399666,8.210923507399665,9.173808968216871,9.173808968216873,-0.2521312467693374,-0.20574408768946087,-0.15053918049531248,-0.12840121688976325,-0.047460072690333165,-0.06918228060989784,0.0
4,1.992309658347428,-10.924820022379532,4.084189598868064,-9.650961382701995,8.321723484463597,8.321723484463599,9.059516228985865,9.059516228985869,-0.41980024689176737,-0.3655097218257537,-0.17967046196996445,-0.192679010689533,-0.018394735405094433,-0.06306183167406286,0.0
5,9.48503408232467,-8.93700880474532,6.9579526529526206,-3.69569252532197,8.173205017044227,8.173205017044229,7.8750733491915526,7.875073349191551,-0.6026691650621261,-0.5932499655117561,-0.17873909858879627,-0.2631628094462377,0.019501695256039196,-0.0635011446150211,0.0
6,2.7902677284445505,-7.686205594307172,0.1617771654605602,-0.6446039072571255,7.780049401197979,7.780049401197981,5.569944634721271,5.569944634721269,-0.7634987425611718,-0.880896107606937,-0.14288236949188393,-0.3122114469110141,0.0343675592125874,-0.05311368651647903,0.0
7,6.001258314310136,-2.021149505158,1.4962245774599818,2.5558024185976977,7.389624681430324,7.3896246814303215,4.533139680361438,4.533139680361434,-0.891093271734807,-1.219247551018611,-0.11392100322579564,-0.3644046333705951,0.021898737864908913,-0.050526347717113534,0.0
8,6.952845393412328,-3.3780046713328247,1.4891280550176411,1.5479073681126136,7.100733116812122,7.100733116812118,3.7834230247613587,3.783423024761356,-0.9859673646266752,-1.6104405978139935,-0.07499247159513897,-0.41924141030914874,0.027604915539427392,-0.06611683461795026,0.0
9,4.698548795666728,-6.601592123556822,0.21684149854630608,0.1631223706228182,6.881644966606082,6.881644966606088,3.2742667187927736,3.2742667187927763,-1.0446066038296826,-2.057006573059158,-0.040049781021148444,-0.47060170259756273,0.04138559393467077,-0.03894775155049032,0.0
