t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,2.320168925895408,5.254363063459727,1.2934292002638978,2.929160260365132,9.153346563052414,9.153346563052414,26.752487676719102,26.752487676719102,0.0015787075403723941,0.008645727234825522,0.0011078356274419631,0.024909068323580967,-0.004582558095858175,0.027180777473971324,0.0
1,-5.341520432566915,-1.1088226002722699,-6.289810186082615,-3.355346924410855,8.962271456075733,8.962271456075733,13.06845566860719,13.06845566860719,-0.0006049447099821012,0.03397047735959785,-0.009794124815023461,0.0187453315257489,-0.03375630676471368,-0.022373162134347084,0.0
2,-7.144926807165334,0.06980040228778672,-3.1410709894328552,-0.6998238649225836,8.50631171608726,8.506311716087259,8.293605229288703,8.293605229288701,-0.0305770986709753,0.036725723327388424,-0.05075946696056813,-0.015070533238213533,-0.03341768921844607,-0.036106989595189015,0.0
3,-3.7682233219442844,-1.2433416681937461,0.9201447394467488,-1.2525365661898855,8.060710543846314,8.060710543846312,6.304581263681762,6.304581263681759,-0.09691034091790789,0.007364494296398709,-0.0831391651851832,-0.04193394898078305,-0.028437912104171112,-0.011938928662287962,0.0
4,1.8177757287506635,10.804944058626827,3.193734121002776,4.671370909127583,7.737703888309427,7.737703888309428,5.225105068822738,5.225105068822735,-0.1844024180145084,-0.03705385047752158,-0.08533915485007457,-0.044184910168838826,0.0024150557559864706,-0.0037261660522635073,0.0
5,-0.579827913862009,10.177431142871093,1.1111138774184348,2.8486472332432395,7.500490247474887,7.500490247474888,4.501145487828576,4.501145487828573,-0.26275216132466894,-0.08301522608278503,-0.0701783085471248,-0.051716859974158536,0.024434150861589548,-0.019981755693454714,0.0
6,1.2657809846375465,-1.4629254888045908,1.4743411696705753,-3.251879843373593,7.3063033968849185,7.306303396884916,3.9463429834720785,3.946342983472076,-0.3169310103173723,-0.15232906036671187,-0.035220374769176846,-0.08594891423583423,0.04616239738077011,-0.0339269684354403,0.0
7,5.396785083373967,-2.2679237300417627,2.5522397697009653,-3.0088627670914616,7.129931607975563,7.1299316079755615,3.4926834864896423,3.4926834864896397,-0.3368969657988036,-0.2474143383326809,-0.004617680521205113,-0.10255294260498915,0.04293286755120978,-0.02082588329482027,0.0
8,7.359552803068532,5.077743081065271,2.5493648716446686,0.20292605556771637,6.9610458448357,6.961045844835697,3.1120819804961384,3.1120819804961357,-0.31542422252054453,-0.35955232953290395,0.0509477298554451,-0.12471931992103828,0.061100722986717315,-0.017702764548600328,0.0
9,-4.1302770209244715,-2.3827895824988374,-1.9186303606473811,-2.3065388866831733,6.797043213874504,6.797043213874505,2.789599227149861,2.789599227149861,-0.22517530859796245,-0.4919189430669999,0.13583351155855472,-0.1456166889918345,0.09840220275843854,-0.035583308300746026,0.0
10,-1.0638201223955417,-6.648849761746412,-0.7285944610766939,-3.195742179782035,6.638139729981152,6.6381397299811535,2.5148751822783137,2.514875182278314,-0.02695370318333143,-0.6610747646758968,0.26859457646138,-0.20023009735043515,0.15467229325338328,-0.07867961198606249,0.0
11,-2.4884574504698795,-11.64620920196871,-0.9445394033975663,-3.9963307900295586,6.485118300356311,6.485118300356308,2.27969526530155,2.2796952653015476,0.3160974446157808,-0.9041647073680021,0.41373956568168924,-0.28937824983309063,0.12537969921117548,-0.1022358216702999,0.0
12,-4.140004088204801,-6.348607980560027,-1.2260978072678894,-1.8167594791259625,6.338581969880664,6.338581969880664,2.077320418034693,2.0773204180346925,0.7895520945584301,-1.2371698947660177,0.5280837415700191,-0.3747290709752246,0.10828283654709533,-0.08566301517992678,0.0
13,0.26911635523040134,-6.702722890882853,0.08910067598633233,-1.576718984404352,6.19882512669458,6.198825126694582,1.9022302850354313,1.9022302850354318,1.3669426566346914,-1.6538850641573235,0.6251727371111148,-0.4572466280348869,0.09015871177953964,-0.08139886275261622,0.0
14,3.247118856229834,-9.36998979472745,0.7367813695701723,-1.9353134059251496,6.0658925273942375,6.065892527394236,1.749934630500791,1.74993463050079,2.0318458643354753,-2.1504900032617753,0.7039397771613942,-0.5316720687566896,0.07865072022084425,-0.061452819978149,0.0
15,0.0775096847040162,-10.645332305876579,-0.1277886893858326,-1.8874197638616446,5.93966700272171,5.9396670027217136,1.616798135605521,1.6167981356055219,2.77999022136736,-2.711317917987246,0.7880713155504108,-0.5898317479960786,0.07792776626880596,-0.07530748540007391,0.0
16,-0.31052828665817067,-10.779145851054484,-0.2071785503199725,-1.6202561587179307,5.8199406917239624,5.819940691723964,1.499881413089807,1.4998814130898084,3.606255855695067,-3.3284780864481043,0.8611773080741678,-0.6387559011457855,0.052346039324062274,-0.038643905143327016,0.0
17,3.0893184066060684,-13.558812743616837,0.5250456828224334,-1.9333338506436024,5.7064642019856056,5.706464201985607,1.3968048654084384,1.3968048654084386,4.498570420890143,-3.9906348709065234,0.9251509889117109,-0.6857036917867425,0.06284022662288002,-0.04520787246577009,0.0
18,6.351840391065247,-13.663971961880629,1.1011682944570842,-1.6666485565222935,5.598978211843046,5.598978211843046,1.3056366669950328,1.3056366669950334,5.452807591550389,-4.698247364424503,0.9764387090716362,-0.7322157743194296,0.017980619409462564,-0.0681764812069072,0.0
19,11.37927158348645,-10.932171593280616,1.899493948403824,-0.9119630355786499,5.497232998799217,5.497232998799226,1.2248026613334195,1.224802661333421,6.438560349078204,-5.466837042790581,0.9965143228745986,-0.8071198040543505,0.029921840347926647,-0.0709987473731835,0.0
20,11.50183197921705,-8.84134614658769,1.7031891539491326,-0.3905598192032267,5.401000051999337,5.4010000519993415,1.153014571278867,1.1530145712788684,7.446711695925623,-6.316460250846222,1.0184557648350192,-0.8962730309017013,0.014249700422967793,-0.09606403392240447,0.0
21,11.264050856627328,-10.916542421127001,1.469749643630225,-0.6378737107171499,5.310078525633879,5.3100785256338785,1.0892128404614836,1.089212840461484,8.469530667891302,-7.259178130310165,1.0337711601506492,-0.9917483566562131,0.02582796023423743,-0.09052435228856591,0.0
22,9.934801016851193,-11.721375681881142,1.081042069147423,-0.6648359985232393,5.2242982429635205,5.224298242963521,1.0325208765762295,1.03252087657623,9.511662915013394,-8.299631461414206,1.0491115094223424,-1.0916180570796759,0.01366678302362232,-0.1128745623485279,0.0
23,12.69219703545538,-12.469137285767765,1.3777624810403246,-0.6707699211589295,5.1435202718680255,5.143520271868025,0.9822080789521035,0.9822080789521036,10.571151788602108,-9.45688707263991,1.0707858572939448,-1.22786116028467,0.028357426925350572,-0.15105543546375175,0.0
24,10.009977007489024,-11.216048294710877,0.808767251573812,-0.3676131504370135,5.067635658210362,5.067635658210361,0.9376596264142429,0.9376596264142433,11.659884547912753,-10.752406212266683,1.1137302813410406,-1.3626870804328253,0.0648463073561135,-0.14714529491181413,0.0
25,12.081215068638414,-10.791736110824953,1.001408761212033,-0.21149566655970187,4.996562639345551,4.996562639345552,0.898351519639481,0.8983515196394817,12.811493811765265,-12.196375408578394,1.188513988788993,-1.5305477147881668,0.06895421049849038,-0.1664323140013825,0.0
26,14.69623882468024,-10.8228035843687,1.2645705290187559,-0.1449111775551568,4.930242509440497,4.930242509440497,0.8638298016906454,0.8638298016906459,14.024734902203758,-13.800989414764317,1.2309406543336934,-1.6725132742774713,0.02108999707415661,-0.12289265803296504,0.0
