t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-9.179002623509394,2.2275034535821945,10.167545951680648,10.167545951680648,0.001750348642988057,-0.0032713196432725238,0.004787197601190703,-0.017438921279011498,0.011135337256212,-0.04352547211022684,0.0
1,-3.43218756304795,-12.790164667249872,8.820896937431767,8.820896937431767,0.007365656877570823,-0.05118948511502294,0.0049054984102361796,-0.08357881526269931,-0.0017717552895062261,-0.09032068559211032,0.0
2,4.552568965378005,-2.089831471694733,8.348930321689625,8.348930321689625,0.004255383906987988,-0.17886244415655048,-0.015395896660314762,-0.16913415817975735,-0.01719851938570205,-0.07874712164661866,0.0
3,9.40571255203714,-2.5376443840361995,8.039135861263507,8.039135861263507,-0.020989960342018336,-0.38644592902219865,-0.04190156796727858,-0.24812428661645464,-0.04474984775564671,-0.0881438138388908,0.0
4,6.834602489203637,-5.996983391285268,7.737250620563954,7.737250620563954,-0.09481436013207704,-0.6741579759939725,-0.10748139593224063,-0.32791145835829155,-0.06802375475783906,-0.08410073238116139,0.0
5,3.5626267145684065,-5.404938822600028,7.614152246822467,7.614152246822467,-0.22708911375822843,-1.042250228774145,-0.1526995287452457,-0.4048968271645921,-0.025473199179793293,-0.07488797598078388,0.0
6,5.181569784507934,-8.199016951224099,7.337656821391994,7.337656821391995,-0.38758532264557394,-1.4919037873363068,-0.17008751343784292,-0.5037214711578115,-0.019603786841827203,-0.12816643197148883,0.0
7,1.3907019667434177,-5.888465068912206,7.1471496974478725,7.147149697447872,-0.565638879615283,-2.0633683042883098,-0.18407251982815392,-0.6401401487036599,-0.015741488614103762,-0.14555258591089104,0.0
8,2.7694633782025817,-12.812920854502226,6.968501164411189,6.968501164411191,-0.7558054885037082,-2.7815238129205597,-0.19210552616076568,-0.8008946804462244,0.0046636287508873345,-0.17537039132768367,0.0
9,-1.1332335702057341,-8.0799150699582,6.8017409570239735,6.801740957023976,-0.9467836715635654,-3.6744794452804883,-0.1935598821258107,-0.9833424351501407,-0.015458509632413759,-0.15727243141519995,0.0
