t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,2.0869868877324893,1.878192013291758,9.071148590226592,9.071148590226592,-0.00318576187511128,-0.003062687208254285,-0.011912610027793157,-0.012125605524045407,-0.028857623291892398,-0.030303011498013937,0.0
1,-5.3037713212549376,-0.37702301893212486,7.949308033009352,7.949308033009352,-0.039804256252949616,-0.03527999754711773,-0.06280847428634413,-0.05106232669581779,-0.0472687007104889,-0.02612414030129442,0.0
2,-3.6912039356844044,4.97393271432219,8.990637497640568,8.990637497640568,-0.12370748625567098,-0.10253817373359099,-0.10747985023772455,-0.08425272635086285,-0.04804928875409038,-0.032142084147370985,1.0
3,3.957888381327202,5.59673944011069,7.869553666142591,7.869553666142591,-0.2521312467693374,-0.20574408768946087,-0.15053918049531248,-0.12840121688976325,-0.047460072690333165,-0.06918228060989784,0.0
4,1.7708118506141808,-8.266073196324697,7.524509136945112,7.524509136945112,-0.41980024689176737,-0.3655097218257537,-0.17967046196996445,-0.192679010689533,-0.018394735405094433,-0.06306183167406286,0.0
5,7.5258444665022335,-8.34002839196367,8.880287448950734,8.880287448950734,-0.6026691650621261,-0.5932499655117561,-0.17873909858879627,-0.2631628094462377,0.019501695256039196,-0.0635011446150211,1.0
6,0.8455235583683246,-9.559778596735992,8.447418918401372,8.447418918401372,-0.7634987425611718,-0.880896107606937,-0.14288236949188393,-0.3122114469110141,0.0343675592125874,-0.05311368651647903,1.0
7,2.5540203937169847,-4.585139287467488,7.213446261521822,7.213446261521822,-0.891093271734807,-1.219247551018611,-0.11392100322579564,-0.3644046333705951,0.021898737864908913,-0.050526347717113534,0.0
8,7.237609944037256,-6.685264661266944,6.777236396463537,6.777236396463536,-0.9859673646266752,-1.6104405978139935,-0.07499247159513897,-0.41924141030914874,0.027604915539427392,-0.06611683461795026,0.0
9,2.9271164195607633,-7.524803374485176,6.538031968578343,6.538031968578343,-1.0446066038296826,-2.057006573059158,-0.040049781021148444,-0.47060170259756273,0.04138559393467077,-0.03894775155049032,0.0
