t,rwm_x1,rwm_x2,cvm_x1,cvm_x2,cam_x1,cam_x2
0,5.552213458325035,5.514709410473889,5.815681779971616,5.173923785294416,6.098239178149463,5.316397336035526
1,5.775447487019523,5.979348038887581,6.28978389340592,6.150077402996793,6.49901791499119,6.450804060604959
2,5.9427949960584385,5.835122009183358,6.335140789657993,6.043697502386992,6.604783052429106,6.332788240113627
3,6.119082384256297,5.793675326916099,6.4881029558237175,6.034900331345419,6.817924907537572,6.313880648573494
4,6.0121380053296845,5.781417143745967,6.361100834339261,6.012775868131046,6.754506953648038,6.306527787435016
5,5.825505459846206,5.703779542410707,6.22105938466272,5.942941645987694,6.568492437093506,6.266353802740133
6,5.730854520971973,5.567359765841278,6.134611730231131,5.808568041319941,6.518467434083365,6.1650211474516325
7,5.684856019254669,5.469041218143677,6.114626372207437,5.723315271606022,6.498189047687943,6.089689836894048
8,5.64529104310356,5.429593921262148,6.064982389918507,5.685732472994975,6.468632825237556,6.060224456192318
9,5.584736654180825,5.3992731453579745,6.008995075181499,5.650123716367845,6.418121606488787,6.032851841686377
10,5.525855246729773,5.370219848146664,5.927022852053863,5.609380658356863,6.343622928407599,6.011189425759361
11,5.4329969886483696,5.335911496084916,5.827142595406397,5.570004013494879,6.236690519242248,5.962533084381663
12,5.381527799314669,5.296711465548084,5.762299587359557,5.541199769221046,6.1724169822898975,5.926081409174611
13,5.310733952893422,5.2587993223137826,5.674406013674882,5.498441601800954,6.083823951857459,5.881916538664813
14,5.244140147039515,5.216579744649758,5.603380569292998,5.4615598663298535,6.005896429341956,5.83174312132968
15,5.1887737565513365,5.170303129869693,5.531924916157149,5.414936349421517,5.925606777046957,5.773688113668007
16,5.142193076234675,5.119907513917122,5.471681083332953,5.360176140557391,5.849084655971485,5.714944679885346
17,5.087767154494018,5.062842958192816,5.405047792991561,5.304909388300826,5.7808561186672955,5.655676485448371
18,5.045048485419681,5.004688751110987,5.355062034736366,5.254965042753446,5.7317299091134934,5.595538862259735
19,4.982516833045395,4.949777629799731,5.29109961005287,5.200899899675787,5.66100667498474,5.532532949588148
20,4.945918518017005,4.896848466972698,5.24536286636118,5.147654377103837,5.607473467292112,5.476145376995459
21,4.89789567415677,4.85937457801233,5.192069743749898,5.105447988008622,5.550086995162937,5.425877822810588
22,4.855817838265054,4.823071631586783,5.146139867725045,5.060389930537456,5.494545980890774,5.3727919814026155
23,4.819954782430215,4.777627610088825,5.099778052020104,5.007419049188035,5.444578800654089,5.315345096891258
24,4.787852500101455,4.742125841975546,5.0546744406118185,4.962266869752378,5.3995010765385585,5.26957558814828
25,4.754106847834776,4.706499769385852,5.0148233189105085,4.919276225430189,5.35409473952572,5.223649848075113
26,4.724126142846073,4.6715834946194175,4.977583679338111,4.880119789609396,5.313059362912494,5.180166180418358
27,4.698437642928645,4.638420301822278,4.9493226822291225,4.845239370828264,5.276920178756436,5.143249145793995
28,4.6699482386349285,4.607649305161684,4.916243564102571,4.8083570376993645,5.23643571774076,5.103330299207973
29,4.63954282986643,4.583868782625496,4.882863657207034,4.781996318677491,5.193364183464243,5.07335801867592
30,4.601778000691206,4.558329620374624,4.842022708837644,4.7566925662961985,5.147163970433611,5.042963733375164
31,4.570299514927461,4.535590670813977,4.80390592292754,4.731388936982305,5.104692134260548,5.008680087085615
32,4.5387392347324536,4.508535292614376,4.766749070742511,4.7000476801004165,5.063743857184142,4.970250360466867
33,4.508219337943889,4.486657346100601,4.731615024159896,4.671987538905344,5.025284160502377,4.938125849654964
34,4.485721362297489,4.465924173124755,4.701515959742767,4.647037355786972,4.99037167800649,4.905317227899528
35,4.461614243965318,4.447641152823884,4.672470461722629,4.620720151718226,4.956884712708256,4.87426906430105
36,4.442588251255743,4.423712708450362,4.646717793647922,4.589498041875663,4.92958913309987,4.839469429869731
37,4.42679652739654,4.397399581602342,4.626053909004748,4.55823460226784,4.9052800583098675,4.805899072984314
38,4.407173087235719,4.376624563053897,4.6041067090402406,4.531294873779368,4.876054176730887,4.776686520796201
39,4.384932594266552,4.356005809043923,4.577175986008172,4.504749313287632,4.843222899342305,4.745681355517483
40,4.36419466603461,4.338654960781491,4.556330524605275,4.4818677350173735,4.816670055801347,4.718764995338882
41,4.342975831990156,4.32133896289839,4.532357176656847,4.460008054674716,4.78942541780577,4.692201866911606
42,4.3251011431928825,4.304807002700927,4.5085297497886625,4.437011816078996,4.7619861829687276,4.664867272372595
43,4.310443579603253,4.2888466512467085,4.4884205692931864,4.41735615540712,4.737565242858146,4.641232544809478
44,4.301711811129603,4.272006917305428,4.471673254065591,4.397584781865396,4.718459724815892,4.61828756731629
45,4.291830183502935,4.254002062877917,4.457439658996078,4.376671512964361,4.700343387068032,4.593602069125888
46,4.277916888613444,4.242003582530028,4.441122685709262,4.359227489137119,4.679855691402255,4.573402866687394
47,4.266965028420384,4.228470328223879,4.4267559165008885,4.342548905654111,4.6619359953508175,4.5528744014268545
48,4.263674407914978,4.214788899543894,4.416534008402311,4.3250501943939215,4.647788787353947,4.530608651613762
49,4.255110052174325,4.205106215357173,4.403196331509305,4.310207122485724,4.63219174786559,4.511976277477466
50,4.248092393707837,4.19254438659213,4.389248722745428,4.293012107906254,4.616338108554066,4.491008336671895
51,4.243112295256514,4.181423998948878,4.378892815199901,4.277691727585052,4.60302672339618,4.4740008967027896
52,4.236864238277428,4.171965306231778,4.367733163605129,4.263374017717109,4.587474925726224,4.458172513681334
53,4.230203884972524,4.162635190585314,4.3573265703878095,4.251211675720122,4.573228271566326,4.443098280300619
54,4.219063166009683,4.158864791007391,4.343152121208207,4.243054973315688,4.555164727962764,4.431780284506015
55,4.20515159437693,4.153016674132195,4.327357450797208,4.233199383801654,4.535202963183199,4.419331347133707
56,4.191565882816366,4.143504779996633,4.311962717699538,4.2225750960830455,4.515880048783428,4.405456858172619
57,4.183040562061881,4.136846750081616,4.300612055429723,4.2130564448822705,4.502443160672852,4.392846544319185
58,4.17516255547867,4.131894359696961,4.289644736689962,4.2046222252631,4.489007022680103,4.382234991427316
59,4.166266530551646,4.126691549833019,4.27790500447355,4.197886526702538,4.475096498954739,4.372244841804864
60,4.160759924132914,4.122091940338703,4.268425966551775,4.191114877488819,4.463505602687857,4.361403297757059
61,4.151737310825531,4.118255173388161,4.258370692343736,4.184589605306889,4.450895094296723,4.352350311100258
62,4.147167939452066,4.119144150297087,4.251661372853758,4.18447366540356,4.44120649444247,4.3483202309814075
63,4.141936733671742,4.116865524940501,4.244729109096415,4.180883716470457,4.430988455078227,4.343191991354972
64,4.1323381740500205,4.1124879429780625,4.232790939153516,4.176373416595149,4.41862060253359,4.337577027699135
65,4.126035852786847,4.1116673374681465,4.222771726126888,4.175339218264389,4.407103040833806,4.33372067959956
66,4.118897082869503,4.112125473695986,4.213849409081533,4.176781578436555,4.395699347348383,4.332467579414439
67,4.113953526083187,4.1114085451466105,4.205531518484324,4.1769140573664325,4.385273973728496,4.330173849549329
68,4.1073880579959425,4.110886483175738,4.1963079236453575,4.175409393088799,4.373491844547643,4.3253466700110526
69,4.0987188370950385,4.108384703064245,4.186181060045125,4.172137154908899,4.362454663892764,4.319441426629094
70,4.086719868135967,4.104726998304527,4.1746698680357675,4.164762052833701,4.349990736556823,4.31103595863817
71,4.0763555764696315,4.099055680015381,4.162560366125881,4.156652859037047,4.336864179068395,4.3014591208942115
72,4.065492384879062,4.090177013690413,4.15026971556974,4.1467028923423905,4.3234989055463515,4.289736228629317
73,4.056906042421224,4.083281350011813,4.138327978025431,4.136470909691289,4.31172430705522,4.278291461944656
74,4.049676063733707,4.075879837367023,4.128126252196276,4.126720655946579,4.301016988118011,4.266773825988337
75,4.041531030176074,4.072039678012493,4.1181192072632875,4.120140803656809,4.289762762584828,4.258953075399699
76,4.03331507469624,4.0701187474617795,4.109016320723235,4.114418208545523,4.279154811842101,4.252414660039702
77,4.028046933301487,4.068508081577119,4.100760438366114,4.110191371192386,4.271020980184523,4.245422987256642
78,4.021555105392822,4.06831525924151,4.093849184811013,4.107067199215569,4.2634934230172385,4.240516588545133
79,4.019567037948647,4.069909702339242,4.089584588838762,4.1063598173597,4.258748522320718,4.237560432588697
80,4.017228172617931,4.066363258771684,4.085403870484937,4.101288870153862,4.25183053452019,4.230015062838444
81,4.013320598388757,4.063900961277532,4.081000269426553,4.095602930869855,4.245401671273266,4.223118554966667
82,4.008982025927114,4.056373501127303,4.076771388164236,4.087223597621163,4.239014195370174,4.21295879708831
83,4.007755008201917,4.0549098592963775,4.073794017965629,4.080952196105027,4.233668339216169,4.206187500761092
84,4.005818422722435,4.0497330926253685,4.070556873133681,4.073529774144557,4.228462478260929,4.19781527835965
85,4.003101840635861,4.044504131639531,4.066663944381918,4.066681879988957,4.223802116082162,4.189159086829639
86,4.001966604191172,4.040588054073558,4.063783965690115,4.06067780677582,4.22044674295312,4.181747548507426
87,4.000680687433562,4.033424855561022,4.062207353967448,4.053907511143088,4.217654274506213,4.174599705230366
88,3.99703186870433,4.029201055826035,4.059419099711018,4.047493581991284,4.213908869519013,4.168035820493866
89,3.9954549663013905,4.02209611303162,4.0593556709993335,4.039152570203611,4.212629060306272,4.158873416385587
90,3.9970045839662083,4.017747259558855,4.061045502358542,4.033277970112422,4.2135786962458255,4.152325003952223
91,4.0004918325651975,4.010694199854421,4.063813099855369,4.026780630771088,4.2160272538165025,4.144434612468567
92,4.001905084078046,4.005997459544767,4.06567093345799,4.021627139691172,4.216767756979573,4.138144779147417
93,4.001246576211403,4.000319022182492,4.065018974120279,4.015616532796012,4.215554067254744,4.131302384029424
94,3.9987725550511306,3.9931321865683254,4.062769301996781,4.00808527512929,4.211627540169342,4.12371588879006
95,3.997071746912977,3.9844769450028057,4.059888576736205,3.9992316353298842,4.2068480414652445,4.114509886048001
96,3.9959071159213044,3.976034904374777,4.057463850103958,3.9911015760484894,4.202618764426442,4.1059332372090855
97,3.993562111744728,3.9695418940665657,4.055235269607218,3.9854603005775466,4.198573575624324,4.099637336630519
98,3.990904661416497,3.966366916689808,4.052032139773955,3.981871943296223,4.194075690015049,4.095270390850645
99,3.9857106875469235,3.960620078339559,4.04767226028698,3.9770498570634754,4.189743432440706,4.0895400379126166
100,3.9836677902425945,3.958037223225662,4.0443294314289036,3.9756331938670137,4.186451551723179,4.085942215876749
101,3.9811391721720564,3.957070635957091,4.039876816556666,3.9763947647557085,4.182808189458004,4.084692176294529
