t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-1.920029719361932,-3.4101141377802904,-1.2800198520196704,-2.273409494652148,-0.4266733373407156,-0.7578032596094412,9.430419203999769,9.430419203999769,32.24167781888631,32.24167781888631,29.887808517468194,29.887808517468194,-0.001237166025646859,-0.0006275529217280709,-0.00323598936651269,-0.004364367928193313,-0.005276050795791552,-0.02263705472305336,0.0
1,1.66667889737362,4.599852803800315,7.854509346244939,7.822397091844479,4.304018116388294,3.796423492777248,9.423244753954409,9.42324475395441,18.376778598988018,18.37677859898802,17.665538111949434,17.66553811194944,-0.0060023620897584895,-0.01851572154168472,-0.005343932870536407,-0.0330509397103006,0.004834244877649278,-0.036016446106873275,0.0
2,3.0113706477965376,7.753067115019717,3.0624303254255523,4.220959653128668,-0.15887463707759508,0.01437987581977429,9.21164394508831,9.211643945088307,14.357867335675898,14.357867335675882,10.85850650931428,10.858506509314267,-0.009621990708458424,-0.072182359850492,0.0018394424491967624,-0.07368091293675075,0.017741371630621623,-0.030720699081831414,0.0
3,4.818157634623207,8.96405535270528,2.6637202593519973,2.017550161941257,-0.26604778369348736,-0.7294655878773222,9.01644124072007,9.016441240720063,11.512854627903225,11.512854627903225,6.570662497587127,6.570662497587128,0.0051154547215307815,-0.1633140095358112,0.029409225018849648,-0.11010150478974089,0.02987001563514169,-0.0376573237424475,0.0
4,18.46249446752312,-6.214757597898828,8.602542452828907,-12.113496477480922,1.3759835388652673,-5.283291605789932,8.788044569138929,8.788044569138918,9.15804446381936,9.158044463819346,4.104793715763004,4.104793715762998,0.04303126444339416,-0.28366413793597206,0.04686106433188322,-0.12047717374792935,0.022183153043641057,0.011832049650486613,0.0
5,6.745210504813848,-3.4261552390224246,-2.7301771051911556,-6.563872726103732,-2.086049128680525,-2.3111939123370195,8.521501541670974,8.521501541670968,7.3769447551796885,7.376944755179673,2.703431613810173,2.703431613810167,0.10332848599530353,-0.4000441948442817,0.07021767098003494,-0.12120421879857758,0.011601137825152895,-0.03293157027210905,0.0
6,1.5684921167819148,-6.251239775709784,-6.325631641083593,-5.989294746650881,-2.5374449128165515,-1.5916635936164392,8.242360213545174,8.24236021354515,6.0597651628298,6.059765162829778,1.8733229301461394,1.8733229301461332,0.18595569775006238,-0.5466430493795237,0.09613015741653134,-0.18028044369681898,0.022603113873013864,-0.0658548538669402,0.0
7,3.0722394614002297,-5.046941852406309,-3.9869592299375984,-3.7142514399689155,-1.4686405323897223,-0.7772020464143807,7.968129699715554,7.968129699715537,5.074935266419833,5.074935266419814,1.3552137206945722,1.3552137206945662,0.29683516293862144,-0.7558433292209057,0.12802116221031318,-0.23470295581740153,0.03400442578842769,-0.04729484384387546,0.0
8,0.9216053490464802,-2.7019303680363578,-4.616078601997742,-1.678473167680643,-1.3380527264575637,-0.24883350364442913,7.7071407339920475,7.707140733992061,4.323361447263403,4.323361447263409,1.0157501656108021,1.015750165610803,0.44151551667088,-1.008411528565064,0.16152419071117,-0.2662714437061859,0.0334973032436909,-0.009704230694256993,0.0
9,-3.5885425028948497,-0.8213460282788141,-5.545054685747264,-0.5327529937973541,-1.2612191552831775,-0.01695322602926508,7.46251147958819,7.46251147958819,3.737351299684763,3.7373512996847653,0.7838716560320884,0.783871656032089,0.6083364534555498,-1.277913588224645,0.16428878624510107,-0.2757795826176371,-0.014112029908797438,-0.02023636051545281,0.0
10,-4.939288247679247,1.7096274953933701,-4.896438068543489,0.3807630488420237,-0.9535706830201551,0.11264953261283939,7.234802133609241,7.234802133609231,3.271291213532898,3.271291213532892,0.6198466264731449,0.6198466264731441,0.7588580377073514,-1.5785990145682423,0.13416761645873168,-0.33223941600295304,-0.038479264094948465,-0.06584255083126651,0.0
11,-6.845708511560481,-2.747469825717257,-4.652618038908598,-1.2700366930319156,-0.7816100770415613,-0.14550189068319774,7.023405071571831,7.023405071571848,2.89407827905562,2.8940782790556288,0.5003838511824107,0.5003838511824121,0.8652935473527531,-1.9459804583534253,0.07285328871204809,-0.4147770374346131,-0.07944071388740698,-0.10323983421636651,0.0
12,-3.0605044739821885,-1.8827683913624114,-2.6861014198951167,-0.7405423131754088,-0.4215010888425448,-0.057352875787218816,6.827233142585611,6.827233142585637,2.5840857696223414,2.5840857696223547,0.41123329732073743,0.41123329732073954,0.9010855269542185,-2.413432939404694,-0.002043042920403997,-0.5214357452218092,-0.08083811770906497,-0.1017481436617165,0.0
13,-5.40121389581109,-1.7740830314537952,-2.8614291990566194,-0.5362286396815588,-0.3864729187820739,-0.02480279024278409,6.645053308255747,6.645053308255745,2.325955976478828,2.325955976478828,0.3433420617142742,0.34334206171427445,0.8669768139198392,-2.9837777245248853,-0.06104364376694949,-0.6174583233764589,-0.057049289469770906,-0.0962247331153624,0.0
14,-9.92126127860795,-0.8836789093108521,-3.6433475209459276,-0.1952084138279746,-0.43140712791745717,0.015549597379346358,6.47564508853023,6.475645088530248,2.1085601211320477,2.108560121132056,0.29076649096199725,0.29076649096199864,0.7833278791974556,-3.6470724290746928,-0.10208964213092869,-0.7101691965976568,-0.03521505230766376,-0.10146022323720201,0.0
15,-7.827652304432274,3.0612279881640614,-2.59020525660606,0.9139738988190018,-0.27464595188491936,0.1346212300786629,6.317871984096159,6.317871984096174,1.9236823740767064,1.9236823740767157,0.2494899278780575,0.2494899278780591,0.6617685200942309,-4.40469172554643,-0.140107646726704,-0.8049016572873142,-0.02960390953532736,-0.09736870955206457,0.0
16,-3.5744534154008107,-1.5710997130051734,-1.2126133461048658,-0.256589436017967,-0.109499345688432,0.005469244467173118,6.170709790140123,6.17070979014014,1.7651548508656956,1.7651548508657033,0.2167275231321647,0.21672752313216587,0.5148900173787093,-5.258248405810448,-0.14660001171871148,-0.901115473255913,0.015590615092372011,-0.1029387453709307,0.0
17,-2.729622288505565,0.6636216358888465,-0.8376372338444042,0.3430082178609162,-0.06307407875401583,0.0635152000911891,6.033253679296076,6.03325367929608,1.628277304751577,1.6282773047515804,0.19050329399263144,0.19050329399263205,0.3758096305703579,-6.216557925276186,-0.13392509999173716,-1.0181407379552319,0.006314431515144355,-0.11573677148618555,0.0
18,-4.961840777032984,-1.685965328620643,-1.2122042019228458,-0.15401598195484922,-0.0921021940125738,0.014041304195518578,5.904715155098769,5.904715155098777,1.5094198606959508,1.5094198606959548,0.1693848479884665,0.16938484798846706,0.24673116741374151,-7.2934929741935015,-0.12138203589495046,-1.133110117355775,0.028124495553430516,-0.10291236195241471,0.0
19,-7.732117926743793,-6.050480022980471,-1.639499080953039,-0.9729745770738782,-0.122213805079492,-0.05640503646938433,5.7844144753784175,5.784414475378422,1.4057456483059787,1.4057456483059818,0.1523124341057101,0.1523124341057106,0.1396276836145764,-8.472172306059358,-0.09047342785141545,-1.2207822295448953,0.04729615533953929,-0.09091526838784662,0.0
20,-5.447727780689011,-8.891734488596493,-1.0086709490106407,-1.3490290555487463,-0.06125899078370063,-0.08098121160039161,5.671771344854707,5.671771344854701,1.3150134296430016,1.3150134296430016,0.1384861881557965,0.13848618815579664,0.06442692712156639,-9.740555382645969,-0.06279173976963334,-1.320814289006296,0.027025412841248552,-0.10843244351092043,0.0
21,-7.006370069176295,-11.22860512631945,-1.1728718764578898,-1.57842300248657,-0.0696354207966331,-0.09148947015227413,5.5662952055295065,5.566295205529501,1.2354345181199604,1.2354345181199595,0.12729035440894249,0.12729035440894254,0.018333466871981844,-11.109618632269882,-0.024760381322868896,-1.4141918656650316,0.058447968064368555,-0.09159284732427486,0.0
22,-7.764907913717561,-14.903720239054355,-1.1859431556825804,-2.026984368167283,-0.06638320662657671,-0.11832045889788817,5.467575683472647,5.467575683472652,1.1655671369786986,1.165567136978701,0.11824166931652087,0.11824166931652114,0.022727200470157558,-12.56623908528437,0.03930188577574182,-1.4940214609584692,0.08540803870602426,-0.07574006108874781,0.0
23,-4.974377481678579,-12.219628546109945,-0.565570394037885,-1.3211377098635468,-0.01588862906947322,-0.057530152554374436,5.375273343367116,5.375273343367116,1.1042369914834145,1.1042369914834154,0.11095392237264898,0.11095392237264907,0.10792238515656005,-14.097410757124617,0.12862149972160686,-1.5657954132647844,0.07710998763137214,-0.06770413301801596,0.0
24,-4.077558611725339,-13.19096011055884,-0.3822332403214663,-1.2814910395262435,-0.003728475639552392,-0.049002313935889164,5.289110693712675,5.2891106937126855,1.0504764840784226,1.050476484078426,0.1051135286892532,0.10511352868925347,0.27574180099944084,-15.695429214221548,0.20487404318116526,-1.629222813887206,0.0645725966201886,-0.06622203626636633,0.0
25,-4.155330172744204,-11.957112421077284,-0.3311012726781679,-0.9167054642285892,0.0003969013442093189,-0.019970084923362497,5.208863288474174,5.208863288474179,1.003477429836961,1.0034774298369624,0.10046263182432494,0.10046263182432502,0.5107767671490638,-17.360400157324676,0.2657486463388268,-1.700567526641172,0.06344858748881424,-0.07099754265702046,0.0
26,-0.7225956538999059,-13.859077467572334,0.24722671795570728,-1.0577762957142625,0.03947502240390964,-0.02678965379816628,5.134350742605636,5.1343507426056485,0.9625537783177076,0.9625537783177107,0.09678731039473223,0.09678731039473241,0.8001045271434097,-19.09533609960442,0.30695958081644587,-1.7707127944369012,0.03457180224118338,-0.07928303153019967,0.0
