t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-6.144384795983535,-2.184328589318473,-3.814270399660291,-1.3559729994149115,8.865688016105862,8.865688016105862,29.99760038835827,29.99760038835827,0.007229652536621988,-0.005060045029693256,0.01380491897107368,-0.009996298766652872,0.008690677327564547,0.004554118577247688,0.0
1,-5.371284615639288,12.298461705584188,-0.7987730360381065,15.140847410019399,8.785191108037107,8.785191108037107,15.535289782969436,15.535289782969436,0.027126426711768778,-0.014602033594562327,0.02809021422519433,-0.011096883131417292,0.021156482517791748,0.0024132650319087087,0.0
2,-3.261551500925884,3.8254845834575217,1.9884205016473544,-2.5514141120518037,8.555150685286506,8.555150685286506,11.576782182636974,11.576782182636974,0.06384339684567489,-0.023740021958424423,0.04858262129448391,-0.005482158931880987,0.03657718129552723,0.0017852011073118009,0.0
3,13.430018583082301,-7.918549850742841,17.521660105698203,-10.431824124558936,8.93408363169448,8.934083631694481,21.379523520138502,21.379523520138502,0.12679916754240977,-0.03653942439745296,0.07906997133285024,-0.02188124148492234,0.03742262739163266,-0.008730775136970547,1.0
4,8.001292540900774,-7.309411021844026,-2.640132722922976,-1.4335515094441122,8.761297808497206,8.761297808497206,13.962106772299693,13.962106772299702,0.22606752574110425,-0.06085758449619653,0.11971421545076044,-0.030945314209412884,0.045334424089241404,-0.032346707782194145,1.0
5,-3.9505322636908513,-3.8574863304163127,-11.495205271521339,2.7259684775858988,8.629627134594953,8.629627134594953,10.529914292155706,10.52991429215571,0.3672942389726424,-0.10757519976421735,0.1616217012037111,-0.05915216108465588,0.038489594455881,-0.02183808819782842,0.0
6,-3.135448788604978,4.190693368410772,-6.701891680977422,7.857848234494902,8.139695316993187,8.139695316993187,7.681594473783053,7.6815944737830515,0.5542231017617231,-0.1780624246837715,0.21516568324927632,-0.08235743076553306,0.041471023739229375,-0.029829439025841148,0.0
7,1.9489595134436533,-3.375598617347742,-1.4033545739520843,0.056278310144318944,7.874050724425831,7.874050724425831,6.158655420890487,6.158655420890489,0.7922890406726011,-0.2721394367567132,0.2586051900384562,-0.10599783118822637,0.030509025889525768,-0.017581705833970507,0.0
8,10.09744480630241,-7.318451562630699,2.983560545276049,-2.2644641212020504,7.626933537072448,7.6269335370724525,5.158866006155039,5.158866006155047,1.061599593698145,-0.38774552788687755,0.2883293712143712,-0.12881445847057732,0.058499840378911365,-0.0332636299040481,0.0
9,6.002309433937462,-4.9958258084039535,0.15852318123827303,-0.5005995479307108,7.436216857532094,7.436216857532097,4.502573652801791,4.5025736528018,1.3755311793782277,-0.5372944485655043,0.3391469456538106,-0.17059549095521226,0.042748918148020926,-0.04329143267746591,0.0
10,5.424041729996956,-3.004809785513256,-0.16200016583793708,0.6487146572683167,7.434724071588903,7.434724071588908,4.114287334028391,4.1142873340284005,1.7367361519923996,-0.7233516900173863,0.37976801896761336,-0.1985598541909618,0.019948777547325814,-0.03494944926738718,0.0
11,-0.20804718309902004,5.683474193915574,-2.1536691115121873,4.024165958448113,7.148431289716099,7.148431289716101,3.693638598897172,3.6936385988971807,2.1226903319417962,-0.9398507500062575,0.38378625689007945,-0.23913508024302377,-0.031152037328772492,-0.06025417400284721,0.0
12,7.616770941688283,9.564973731287644,1.2438025576207572,4.609774946392745,6.927938768486512,6.927938768486513,3.2710267713099337,3.271026771309941,2.4897576489392907,-1.1979817667913506,0.3442528137224088,-0.27518206407580303,-0.04443846470158014,-0.0292715582670536,0.0
13,8.714570641910875,9.394242260611067,1.5153898724852404,3.5542385463840245,6.757366150796284,6.757366150796286,2.933676727624815,2.9336767276248197,2.808262828420576,-1.4865397509164222,0.29009201638640425,-0.3030265301475132,-0.05606135106178421,-0.03980349024964092,0.0
14,8.544901212622571,-3.0527384042052748,1.2794781742852486,-1.134743333921972,6.599423236648031,6.599423236648032,2.6398039032266705,2.6398039032266736,3.0640394580829224,-1.8071170795706737,0.21726182263064062,-0.3352848010504186,-0.07668763073174847,-0.029655994580254613,0.0
15,5.859883235093841,0.053622118348719564,0.33887059995406243,0.01703270858805128,6.451188291387788,6.451188291387788,2.391185336011239,2.3911853360112407,3.251373311000781,-2.1533100503017453,0.16306213682418633,-0.351932120202566,-0.04232831480645189,-0.007054297230540723,0.0
16,-0.8057276317473736,6.024413458519456,-1.5849627854761486,1.6799217136014326,6.30960873703022,6.309608737030219,2.1773474908220094,2.1773474908220103,3.3929282145742206,-2.5019234550065597,0.1190404873453201,-0.3466146017001073,-0.045708927214520634,-0.029589819567101133,0.0
17,-2.9614256150128853,2.28052239898677,-1.9226193352082053,0.44414922221195874,6.175099612849463,6.175099612849466,1.9935890580007223,1.9935890580007227,3.491195581599864,-2.864253770537081,0.08260600411665786,-0.37467204905741475,-0.027684039706460183,-0.01686822414502031,0.0
18,-3.2392110167314865,1.3622254981416746,-1.719833268617731,0.16367073548083022,6.0474876472735986,6.047487647273605,1.8345897769217072,1.8345897769217083,3.5533842440574435,-3.2463386273746035,0.03586141244483222,-0.3890973594426337,-0.0669919184838967,-0.017607384089108426,0.0
19,-3.4140603642872422,2.656585056295288,-1.5476976705910261,0.4173990663706195,5.926779882380285,5.926779882380282,1.6963639124940613,1.6963639124940595,3.5601570900744033,-3.647763326921537,-0.018684683394753238,-0.4139291103461853,-0.05212176012665925,-0.023087536574917192,0.0
20,-2.474590106141534,-0.680626255026028,-1.1698527083739978,-0.4143856213727026,5.812740070569952,5.812740070569949,1.575536922989984,1.5755369229899816,3.506151134502413,-4.076803031270413,-0.09058962962304742,-0.44903121198610396,-0.07214032992454278,-0.048958795645218434,0.0
21,1.2054127518143893,-4.219376754319014,-0.2579360131162347,-1.1853174241440967,5.705089246220277,5.705089246220274,1.4694312504265237,1.4694312504265221,3.3729756786639564,-4.553819762137581,-0.17705647895865906,-0.5096112478482133,-0.08114643621407171,-0.07175631425819329,0.0
22,-0.7341511580617954,2.156702005049964,-0.6042860159351414,0.18451585405073168,5.603502834310277,5.603502834310277,1.3758811444623613,1.3758811444623609,3.1646840079203415,-5.097064938338696,-0.22910195065230626,-0.5773968624177367,-0.009087890543234722,-0.07101393799908104,0.0
23,1.1710978217968853,0.9917991988911976,-0.17421778468597293,-0.12041547087370841,5.507664458175616,5.507664458175618,1.293147418725705,1.2931474187257053,2.9345008427409383,-5.704490389171639,-0.22924711172179785,-0.6296836438578501,0.0034602576278745193,-0.04575589836383301,0.0
24,2.5383830878653892,-1.5044013638985465,0.09600477526069029,-0.6175608543682853,5.417279984557969,5.417279984557972,1.21982219292743,1.2198221929274302,2.706151414525477,-6.3589842320946035,-0.23001809004312385,-0.678167961293626,-0.00916978250151485,-0.04320802575288286,0.0
25,3.4577045978895917,-5.603624403166423,0.2549248441832459,-1.332996676430978,5.332090424426956,5.332090424426958,1.1547602440762261,1.1547602440762261,2.4713863641938616,-7.0622332330770226,-0.24006830997833412,-0.7282244183242068,-0.028431979112624135,-0.038512209022986084,0.0
26,4.962372939692372,-5.910858016568218,0.49622920641591395,-1.2789580970496388,5.251875069151956,5.25187506915196,1.0970219741977298,1.0970219741977307,2.2262392772803694,-7.814983403681214,-0.2444708656696619,-0.774805135032572,0.0006748570690596027,-0.03817010055610446,0.0
27,6.2922016252055375,-11.526978010920978,0.6778585962023602,-2.109084617625528,5.176451656532381,5.176451656532385,1.0458291492262362,1.045829149226237,1.9777635500204664,-8.614180657376203,-0.2563858007730544,-0.8313797898335296,-0.021279981943233946,-0.06674808877722085,0.0
28,6.699464970013827,-9.955062575485208,0.682407397411458,-1.6602391842187076,5.105673603634792,5.105673603634795,1.000529418917996,1.000529418917997,1.7116048541385531,-9.487437690398817,-0.2741661239137715,-0.9228465973813678,-0.015733705949767227,-0.11753079832091398,0.0
29,1.4345287887295912,-10.836127067881783,-0.2078671987461449,-1.6554284525518057,5.039425774060117,5.03942577406012,0.9605680112516717,0.960568011251672,1.4288664036028618,-10.46113391185496,-0.29170228471569126,-1.018785794278647,-0.02145733140114324,-0.07820537700982491,0.0
30,2.9642835384051773,-10.154864484338338,0.03785189074875328,-1.4105891247003077,4.977619105248067,4.977619105248069,0.9254648856655706,0.925464885665571,1.12922350729432,-11.520491177061666,-0.308375978439465,-1.105639880451521,-0.01878374004701836,-0.1031732909701752,0.0
31,3.5667077247460295,-13.191961324162524,0.1334344754733907,-1.7357773854428316,4.920184457947924,4.92018445794793,0.8947962896046675,0.8947962896046685,0.8116720249194577,-12.676225034121973,-0.32267129540366246,-1.2059893226253195,0.010377406991603916,-0.08139757895881648,0.0
32,2.398345404143992,-11.34252969019439,-0.04591130556193357,-1.3103788060452892,4.8670658467234045,4.867065846723406,0.8681799386253627,0.8681799386253631,0.4940458496209435,-13.920093420579606,-0.3051295540268703,-1.274761380559932,0.031419174354757835,-0.054384666121804606,0.0
33,4.222768539721158,-15.914616848052134,0.2118352326987869,-1.8362800904032093,4.818213219491902,4.818213219491903,0.8452633205655206,0.8452633205655207,0.2096233328694325,-15.224907820129147,-0.26612120172659276,-1.3333572208124351,0.019301867159559297,-0.0439942148312253,0.0
34,1.3345481103343717,-17.178672967037258,-0.22122689967789377,-1.8389026481619177,4.773574971358125,4.773574971358128,0.8257147821072811,0.8257147821072818,-0.04062460658496413,-16.583119371320723,-0.23193878026902984,-1.3897754788667682,0.03772151360071399,-0.05297501242037498,0.0
35,5.261138500087906,-20.969910779520514,0.31789060973171845,-2.183556085970682,4.733090445679763,4.733090445679768,0.8092171475929761,0.8092171475929772,-0.2533594687414073,-18.00987716190301,-0.19367588658096768,-1.4706479421871337,0.03440375829277474,-0.09963100268186248,0.0
36,1.748272677706968,-21.92209803204051,-0.19021016417664183,-2.1086685578764124,4.696682750394036,4.696682750394039,0.7954636433791133,0.7954636433791142,-0.4327065484901898,-19.531163899061738,-0.1653912894524322,-1.5706062239903649,0.029679814098144255,-0.08701704685285026,0.0
37,-1.5636036540250204,-21.62459001191114,-0.6293978087241696,-1.8632526059222454,4.664252288577812,4.664252288577816,0.7841558794658513,0.7841558794658521,-0.5797384083033387,-21.143429286520462,-0.12503204245637498,-1.6541837782877427,0.04086868067717408,-0.07767884044271926,0.0
38,2.3832372507262622,-21.878962157830923,-0.0547554099326828,-1.7151360136449338,4.6356714459232,4.635671445923204,0.7750035920854814,0.7750035920854823,-0.6815718330127314,-22.835569458842055,-0.08101874885984363,-1.729332818609444,0.03515105479327199,-0.07611280970189699,0.0
