t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-7.181613336211629,-5.723509664138823,8.839794506315448,8.839794506315448,-0.001237166025646859,-0.0006275529217280709,-0.00323598936651269,-0.004364367928193313,-0.005276050795791552,-0.02263705472305336,0.0
1,-3.512574390703028,5.123410144318836,8.240783888569515,8.240783888569515,-0.0060023620897584895,-0.01851572154168472,-0.005343932870536407,-0.0330509397103006,0.004834244877649278,-0.036016446106873275,0.0
2,2.880984873795173,6.8992911756373845,7.985798402800009,7.985798402800009,-0.009621990708458424,-0.072182359850492,0.0018394424491967624,-0.07368091293675075,0.017741371630621623,-0.030720699081831414,0.0
3,6.733755693754091,8.166830253858906,7.788012845294663,7.788012845294663,0.0051154547215307815,-0.1633140095358112,0.029409225018849648,-0.11010150478974089,0.02987001563514169,-0.0376573237424475,0.0
4,14.278426418063571,-1.677443732597872,7.615705437599199,7.6157054375992,0.04303126444339416,-0.28366413793597206,0.04686106433188322,-0.12047717374792935,0.022183153043641057,0.011832049650486613,0.0
5,9.920501951987813,-0.676959877740135,7.442993049974857,7.442993049974857,0.10332848599530353,-0.4000441948442817,0.07021767098003494,-0.12120421879857758,0.011601137825152895,-0.03293157027210905,0.0
6,0.9629817697108205,0.5782672735340031,7.2646399056371775,7.264639905637176,0.18595569775006238,-0.5466430493795237,0.09613015741653134,-0.18028044369681898,0.022603113873013864,-0.0658548538669402,0.0
7,3.273701590773013,-2.2251602593502806,7.0846451071203065,7.0846451071203065,0.29683516293862144,-0.7558433292209057,0.12802116221031318,-0.23470295581740153,0.03400442578842769,-0.04729484384387546,0.0
8,1.6454884098983866,-2.466818655971377,6.907700506066469,6.907700506066466,0.44151551667088,-1.008411528565064,0.16152419071117,-0.2662714437061859,0.0334973032436909,-0.009704230694256993,0.0
9,-3.811000335504397,1.7446643760123535,6.736915463728823,6.73691546372882,0.6083364534555498,-1.277913588224645,0.16428878624510107,-0.2757795826176371,-0.014112029908797438,-0.02023636051545281,0.0
10,-6.683782575096438,0.5421595058187103,6.573900354555182,6.573900354555177,0.7588580377073514,-1.5785990145682423,0.13416761645873168,-0.33223941600295304,-0.038479264094948465,-0.06584255083126651,0.0
11,-5.515064811518725,-3.615619186971,6.419276143294046,6.419276143294046,0.8652935473527531,-1.9459804583534253,0.07285328871204809,-0.4147770374346131,-0.07944071388740698,-0.10323983421636651,0.0
12,-2.7663690125935108,-4.3287689982313315,6.273093455858602,6.273093455858606,0.9010855269542185,-2.413432939404694,-0.002043042920403997,-0.5214357452218092,-0.08083811770906497,-0.1017481436617165,0.0
13,-4.366920327805546,-3.1353117434234297,6.135102162610427,6.135102162610434,0.8669768139198392,-2.9837777245248853,-0.06104364376694949,-0.6174583233764589,-0.057049289469770906,-0.0962247331153624,0.0
14,-5.07046291091035,0.3530818618612781,6.0049099797195415,6.004909979719546,0.7833278791974556,-3.6470724290746928,-0.10208964213092869,-0.7101691965976568,-0.03521505230766376,-0.10146022323720201,0.0
15,-5.189495914449984,1.8280744252095882,5.8820719488934925,5.8820719488934925,0.6617685200942309,-4.40469172554643,-0.140107646726704,-0.8049016572873142,-0.02960390953532736,-0.09736870955206457,0.0
16,-5.086192759396073,-2.1647817149191404,5.766139696235769,5.766139696235772,0.5148900173787093,-5.258248405810448,-0.14660001171871148,-0.901115473255913,0.015590615092372011,-0.1029387453709307,0.0
17,-3.867252681465336,-2.1460945771307185,5.656687870404608,5.656687870404613,0.3758096305703579,-6.216557925276186,-0.13392509999173716,-1.0181407379552319,0.006314431515144355,-0.11573677148618555,0.0
18,-5.246897596847842,-5.159579947497017,5.553327730808919,5.553327730808923,0.24673116741374151,-7.2934929741935015,-0.12138203589495046,-1.133110117355775,0.028124495553430516,-0.10291236195241471,0.0
19,-5.256826598634033,-8.95785263883131,5.455713470879466,5.455713470879471,0.1396276836145764,-8.472172306059358,-0.09047342785141545,-1.2207822295448953,0.04729615533953929,-0.09091526838784662,0.0
20,-6.518085870011817,-8.93428122837104,5.363544386519744,5.363544386519747,0.06442692712156639,-9.740555382645969,-0.06279173976963334,-1.320814289006296,0.027025412841248552,-0.10843244351092043,0.0
21,-4.4196652270223105,-11.91274804165389,5.276564607088229,5.276564607088232,0.018333466871981844,-11.109618632269882,-0.024760381322868896,-1.4141918656650316,0.058447968064368555,-0.09159284732427486,0.0
22,-7.224327381925041,-15.078158502022479,5.194561319688075,5.194561319688078,0.022727200470157558,-12.56623908528437,0.03930188577574182,-1.4940214609584692,0.08540803870602426,-0.07574006108874781,0.0
23,-2.092484823537416,-15.668784153655814,5.1173619659873495,5.117361965987354,0.10792238515656005,-14.097410757124617,0.12862149972160686,-1.5657954132647844,0.07710998763137214,-0.06770413301801596,0.0
24,-2.988522433898873,-14.213771668865736,5.044830630151559,5.044830630151563,0.27574180099944084,-15.695429214221548,0.20487404318116526,-1.629222813887206,0.0645725966201886,-0.06622203626636633,0.0
25,-5.040201731952548,-11.842146476716133,4.976863688991038,4.97686368899104,0.5107767671490638,-17.360400157324676,0.2657486463388268,-1.700567526641172,0.06344858748881424,-0.07099754265702046,0.0
26,-0.8900962592232025,-13.58150850746601,4.9133847208845784,4.913384720884584,0.8001045271434097,-19.09533609960442,0.30695958081644587,-1.7707127944369012,0.03457180224118338,-0.07928303153019967,0.0
27,-0.11176205746504532,-14.967326459090053,4.854338647850302,4.8543386478503034,1.1177947079320067,-20.912584792182138,0.3209161710160717,-1.87240003636854,-0.0058176142924686175,-0.12961576114344114,0.0
28,-1.6961477615221798,-14.959690810465078,4.799685105129123,4.799685105129127,1.4338469698831544,-22.861026843950974,0.30957244500519887,-2.0329896149251074,-0.013606531278278836,-0.1707330390613295,0.0
29,-1.0871554701424657,-22.49958538643634,4.7493910890561,4.749391089056104,1.7262522684817154,-24.982084904398842,0.26389015706322194,-2.2150869170160252,-0.07232999036620047,-0.1998714763011861,0.0
30,-0.4738091822596841,-23.145000486874817,4.703423021456455,4.703423021456459,1.9519871307062395,-27.307247132847415,0.18999702411177494,-2.441663652999177,-0.06768824560993199,-0.2417055544847156,0.0
31,0.22778578072962172,-24.26156417173014,4.6617384793119285,4.661738479311931,2.1003829459752223,-29.870520373346917,0.10000403378597772,-2.6790025656128784,-0.10747537794449896,-0.2131093855891626,0.0
32,-1.3026431385132111,-26.79142950481771,4.624277959281061,4.624277959281064,2.1437593140480726,-32.65512654811192,-0.012427369747645398,-2.8885862908395743,-0.09499017581488577,-0.20926589589247088,0.0
33,2.108603747574663,-31.133342761697456,4.590957159593482,4.590957159593485,2.087051116309429,-35.6573496414871,-0.09638949503005627,-3.121232276590388,-0.06561977248876243,-0.2504793961552275,0.0
34,2.5274643410791224,-30.66772514446048,4.561660344138969,4.56166034413897,1.958059939252355,-38.89631280756875,-0.1623357560521418,-3.3502253393095525,-0.0679070576991891,-0.22369222789496515,0.0
35,2.398571636291032,-38.167971446549416,4.536235381170057,4.536235381170059,1.7587575703038287,-42.3573646887849,-0.24400472127740544,-3.567916056766136,-0.09820776689754301,-0.2033715640024548,0.0
36,1.088142016213176,-44.38091756973433,4.5144910016811375,4.514491001681138,1.4631445241234136,-46.022421735256216,-0.3501451298307705,-3.7622799958630737,-0.10652261588657513,-0.19971747067199486,0.0
37,-0.702013266452649,-46.00475326853073,4.496196689911308,4.496196689911308,1.0586740495881553,-49.87518560839002,-0.4610539868276894,-3.9339789694273737,-0.11954329141509973,-0.14975176074609647,0.0
38,2.5900627128184994,-47.69661383151258,4.481085405511329,4.481085405511327,0.5411061146392177,-53.87813816657043,-0.5759222991818689,-4.071698001780878,-0.12164086174223307,-0.14640188195268874,0.0
39,3.9543249074239823,-54.07503569606215,4.468859066370977,4.4688590663709755,-0.09498198835669196,-58.01707940266932,-0.6933245740739432,-4.2005838707486225,-0.10093244254274893,-0.1131765091643808,0.0
40,3.351868316447992,-58.22924663836105,4.459196431125323,4.459196431125323,-0.8469008746980179,-62.27267387581958,-0.8150382290402538,-4.310941827327309,-0.13308248656246335,-0.11281451401356134,0.0
41,1.9646252195734801,-60.71236648012059,4.451762757719047,4.451762757719045,-1.7322549962412548,-66.64060155588054,-0.9491596017106665,-4.427904805624619,-0.1154750185946222,-0.11638633206133098,0.0
42,-0.46259862025156645,-66.4374226490345,4.4462204241118615,4.4462204241118615,-2.740364642324442,-71.13077242589058,-1.0675367623135295,-4.550011669505401,-0.12007575789682824,-0.11817114167654028,0.0
43,-2.6631306705554403,-72.06412711496884,4.442239611756728,4.442239611756729,-3.8634950647784274,-75.7389334544287,-1.176237887559867,-4.6630823384411,-0.1214554297991019,-0.09574060311257819,0.0
44,-3.8547906998814816,-77.61269777071624,4.439508184110965,4.439508184110964,-5.096135024848561,-80.45210640050402,-1.2845789122571747,-4.762847735430192,-0.08919195767340676,-0.101286016416125,0.0
45,-4.104075226742999,-81.69155000367505,4.437740030783131,4.437740030783131,-6.430887404865465,-85.26615883070802,-1.3899130219685414,-4.860346269182809,-0.1173807551246399,-0.08679367203320888,0.0
46,-6.70084724771661,-87.15868292421067,4.436681363653674,4.436681363653674,-7.871049381847664,-90.167896130921,-1.486868660184905,-4.9411282339197875,-0.08673292499507737,-0.0711286639236422,0.0
47,-6.3539344232317285,-92.55918518339132,4.436114704280179,4.436114704280179,-9.402386373370978,-95.1499387426394,-1.5782722269972294,-5.0235471142123735,-0.10251502661331306,-0.07745438891115244,0.0
48,-11.675899894907992,-96.64994186399578,4.435860550904054,4.435860550904052,-11.033302707729138,-100.21786631667288,-1.682040341242977,-5.11476807201007,-0.10422324736653212,-0.09968851205789078,0.0
49,-13.07761738948804,-100.94767035685375,4.435776924643312,4.435776924643311,-12.765828513973375,-105.38173371182795,-1.7817579265903074,-5.211800117357271,-0.0924279594537731,-0.09472822072119969,0.0
50,-12.571248157304261,-108.04094110865209,4.435757146799957,4.435757146799954,-14.58686598226173,-110.63344574259835,-1.8552903053021759,-5.28843209561319,-0.053439256680403995,-0.06074957304615663,0.0
51,-16.37696558934046,-112.5075201020425,4.435726285240897,4.435726285240897,-16.464550484080497,-115.94833221128921,-1.8974625938807035,-5.341592310527628,-0.02953412261335516,-0.044922386741679095,0.0
52,-17.884061841836914,-120.23726280871551,4.435636731882981,4.435636731882981,-18.370229379290244,-121.3151665814024,-1.9066811148029204,-5.389338064802783,-0.004397834169767082,-0.04067452376277991,0.0
53,-19.497924661711508,-123.99955583325841,4.43546334760375,4.4354633476037515,-20.279851285441197,-126.73214598212915,-1.9118952870710295,-5.445303914726254,9.514617089539587e-07,-0.04026303178498848,0.0
54,-24.0995758172239,-131.88637853195888,4.435198551101952,4.435198551101954,-22.188585480110945,-132.19843044027357,-1.9101446736283063,-5.484699767174237,-0.017688025688017698,-0.04452461807358637,0.0
55,-22.697870279311054,-136.21841279449941,4.434847649942736,4.434847649942736,-24.10825060063641,-137.70249018926683,-1.9340278901165697,-5.520628711858405,-0.03628054338836921,-0.026958258801806904,0.0
56,-24.224536608660703,-140.53814906285166,4.434424628378406,4.434424628378407,-26.062067819094413,-143.2455392202205,-1.9709030221023538,-5.57433574175471,-0.036842189640856914,-0.08190694757557315,0.0
57,-28.463749573421183,-145.56477639590827,4.433948527125295,4.4339485271252945,-28.049582905199564,-148.8585395122416,-2.0045912546030684,-5.6539057722102495,-0.037139590529818994,-0.08811190163587966,0.0
58,-32.19288248135688,-154.31931440301486,4.433440481066004,4.433440481066004,-30.072212890162227,-154.5554041198237,-2.0414973953064917,-5.736827654906821,-0.030289685917932775,-0.07919408381914944,0.0
59,-34.45630574078221,-158.518385082365,4.4329214247218225,4.432921424721823,-32.13237301233625,-160.32451090564555,-2.078622276140064,-5.794664741425216,-0.03289991415154843,-0.049339142517056275,0.0
60,-34.93202589545687,-163.49477975854785,4.432410432921615,4.432410432921616,-34.22997796814135,-166.14432227361206,-2.116110797279498,-5.841500882125576,-0.03315855541060309,-0.03132587698281641,0.0
61,-38.89978494249362,-169.52172126312183,4.431923634543646,4.4319236345436455,-36.35548562489516,-171.99431219915925,-2.1306295928893446,-5.855647598794503,0.0018493739206350418,-0.0093390622378055,0.0
