t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-0.04773022441135489,0.466263119101283,-0.031820149792303576,0.3108420812054663,-0.010606716849344042,0.1036140295293219,1.2995120526386228,1.2995120526386228,31.634641855405995,31.634641855405995,29.815639708770274,29.815639708770274,-0.002941631011098542,-0.001689269810612236,-0.007949133931322959,-0.009036712134516565,-0.013291509804382548,-0.02000180205267,0.0
1,-1.1801898099331485,-0.3512207927524523,-1.4574697814527997,-1.1101342737661763,-0.653492424213527,-0.5890415482779003,1.2994204675764247,1.2994204675764247,8.062124726903898,8.062124726903898,15.395387384848888,15.395387384848888,-0.017513214556032306,-0.02285220019298772,-0.022702121128281686,-0.03418434732955854,-0.020843853729056363,-0.028777407579965948,0.0
2,-0.1583550431321279,-1.0072092718025334,1.983920136512563,-0.6066433717079927,2.021318619231452,0.12460969229132024,1.2956657527297606,1.2956657527297606,3.2135644419878737,3.2135644419878737,3.066117839943983,3.066117839943983,-0.05061847010338197,-0.0712121469105289,-0.041708069039731836,-0.06180113727356132,-0.014344476066101328,-0.029541850787827242,0.0
3,-1.5248278638590702,1.8419020516281992,-0.7794560313648287,3.2410635937331156,-0.24476957023613943,1.8879127104179398,1.2651942053043512,1.2651942053043512,2.0173480681053606,2.0173480681053606,1.285491601765571,1.285491601765571,-0.09960986941519245,-0.14540098239100696,-0.05640867139705778,-0.0875065291142425,-0.01800115316889485,-0.03136035445676602,0.0
4,-0.7695050381337345,-0.33940941364902244,0.41447824998015226,-0.3980973612318781,0.2867968221956164,-0.15420777586791323,1.2224537044653128,1.2224537044653128,1.4436305216314924,1.4436305216314924,0.6912860292068609,0.6912860292068609,-0.16353974006556748,-0.25092037501450115,-0.07066851233027172,-0.1236374814387473,-0.012679777660748064,-0.037736324811507814,0.0
5,-0.3143971068005551,-1.0654888795743114,0.6276798001735752,-0.7319653377044887,0.26452501209750906,-0.20857754394128128,1.17760912517965,1.17760912517965,1.1058405753381673,1.1058405753381673,0.4243955579347494,0.4243955579347494,-0.24252610686653145,-0.3945760371581756,-0.08926195813196552,-0.16477722343680742,-0.020947895066401885,-0.047325596702882514,0.0
6,1.0156164794426332,-0.12043670521731009,1.2392190756847326,0.1437753601798759,0.3534362840830845,0.06924421810819528,1.1343253704169052,1.1343253704169052,0.8846306828269256,0.8846306828269256,0.2834629690718331,0.2834629690718331,-0.3428929661987472,-0.5827002523387271,-0.11104582652928469,-0.20989302720267336,-0.017682026674462968,-0.0388682222603456,0.0
7,0.7988863873398822,-1.0666615780846693,0.7288376905553156,-0.38199977712488853,0.16152333415049278,-0.06295025282499742,1.0938393895348537,1.0938393895348537,0.7296780790463651,0.7296780790463651,0.20091378299153637,0.20091378299153637,-0.45922165579912017,-0.8117773074063791,-0.12113099094831324,-0.24715387642433875,-0.013377442520516605,-0.035493847475965554,0.0
8,-0.383980127034685,-1.503734031773461,-0.04171694225423361,-0.45598899271426413,-0.02131322063944799,-0.06511565742830124,1.0564466161630652,1.0564466161630652,0.6159074331401442,0.6159074331401442,0.14894724490370312,0.14894724490370312,-0.5855674770550228,-1.074509836116566,-0.13029521781890266,-0.27861052405008996,-0.012056874305824765,-0.0340147939589155,0.0
9,-0.8436128460810215,-1.2931755278038528,-0.2337810252407124,-0.2279919420429427,-0.05131275191703792,-0.013618149693186567,1.0220753919682535,1.0220753919682535,0.5294177626518692,0.5294177626518692,0.11447742231718344,0.11447742231718344,-0.7247007715397038,-1.370450324502812,-0.15045535310583355,-0.3145027928978808,-0.025223688864651934,-0.0401381073109513,0.0
