t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,1.3083427147451596,-3.7771690009708907,0.8722285031481963,-2.5181127442562588,0.2907428707255858,-0.8393710196734465,9.267030950193249,9.267030950193249,32.220615073651416,32.220615073651416,29.885284614858175,29.885284614858175,-0.00318576187511128,-0.003062687208254285,-0.011912610027793157,-0.012125605524045407,-0.028857623291892398,-0.030303011498013937,0.0
1,-6.819551396676423,0.688024338204781,-6.689334660780799,-2.130566497722331,-2.765510069333366,-1.3574936281570684,9.304808674323851,9.304808674323851,19.77693141004981,19.77693141004981,20.058142854749615,20.058142854749615,-0.039804256252949616,-0.03527999754711773,-0.06280847428634413,-0.05106232669581779,-0.0472687007104889,-0.02612414030129442,1.0
2,-4.691651817872209,3.2150547405444887,3.077540588191969,3.248851570679041,3.6915604840269562,1.8519046956962462,9.08243535145805,9.082435351458042,14.878369113259438,14.878369113259437,11.609284203857158,11.609284203857163,-0.12370748625567098,-0.10253817373359099,-0.10747985023772455,-0.08425272635086285,-0.04804928875409038,-0.032142084147370985,0.0
3,4.741649583704304,4.355201601377182,9.82658572706973,3.972284946037454,4.68405690731921,1.8355380848072635,9.151794978242547,9.151794978242545,14.571165818601932,14.571165818601948,9.11358187269268,9.113581872692688,-0.2521312467693374,-0.20574408768946087,-0.15053918049531248,-0.12840121688976325,-0.047460072690333165,-0.06918228060989784,1.0
4,5.148305551139649,-16.627504494361567,6.372571689157091,-16.858400472083698,2.049236852308299,-6.348356476227831,9.055683100071391,9.055683100071382,12.150672997725177,12.150672997725152,6.035467359141207,6.035467359141195,-0.41980024689176737,-0.3655097218257537,-0.17967046196996445,-0.192679010689533,-0.018394735405094433,-0.06306183167406286,1.0
5,11.586231156461968,-12.769376115800632,8.552864767805064,-5.664327149272727,2.2015247272317735,-1.075858521614544,8.529822378624813,8.529822378624806,8.459232598499735,8.459232598499726,3.2920340839991984,3.292034083999194,-0.6026691650621261,-0.5932499655117561,-0.17873909858879627,-0.2631628094462377,0.019501695256039196,-0.0635011446150211,0.0
6,2.700267680508071,-12.88616531902351,-0.3800519570087193,-3.0268914635186572,-0.6062132356135215,-0.13040504814176845,8.769100525463056,8.769100525463056,8.038448446487763,8.038448446487775,2.7746396897591223,2.7746396897591237,-0.7634987425611718,-0.880896107606937,-0.14288236949188393,-0.3122114469110141,0.0343675592125874,-0.05311368651647903,0.0
7,1.0478480138222928,-2.073658806562829,-1.3021678214358259,3.752314249542504,-0.6584811517763958,1.3532312138747948,7.998334861082463,7.998334861082474,5.709716940776402,5.7097169407764214,1.6279649152645268,1.6279649152645304,-0.891093271734807,-1.219247551018611,-0.11392100322579564,-0.3644046333705951,0.021898737864908913,-0.050526347717113534,0.0
8,5.311820221407187,-3.1082884213399176,1.0482692357947903,2.461567209822819,-0.04538865032227335,0.8278641973819618,7.728666484674823,7.728666484674822,4.867418182158133,4.867418182158125,1.2235818634700575,1.2235818634700533,-0.9859673646266752,-1.6104405978139935,-0.07499247159513897,-0.41924141030914874,0.027604915539427392,-0.06611683461795026,0.0
9,4.314767029346055,-4.438949050209761,-0.041301864100789176,1.4471975871008063,-0.24705891287316617,0.49805017108054583,7.451080965072011,7.451080965072008,4.075522276001123,4.075522276001117,0.9084310065465739,0.9084310065465707,-1.0446066038296826,-2.057006573059158,-0.040049781021148444,-0.47060170259756273,0.04138559393467077,-0.03894775155049032,0.0
10,6.209916995944571,2.3196328285631687,0.5809532761522462,4.0495088100360555,-0.10101102667682033,0.8503343642808541,7.2151725234850135,7.2151725234850135,3.529481665373204,3.5294816653731975,0.7105810736019996,0.7105810736019962,-1.0631873310796256,-2.5458938703594542,0.004132489252336049,-0.5036703770196397,0.038443316759127585,-0.02688507304056688,0.0
11,6.68615833809788,5.98385963399992,0.4026948367915737,4.636510321024538,-0.11668710671219173,0.8133546437666617,6.988550490074552,6.988550490074549,3.0848756221641565,3.084875622164147,0.5661506969410458,0.5661506969410426,-1.0357576121582637,-3.071445281402537,0.04589661798119941,-0.5458071841939967,0.017863132590952253,-0.041612805282881846,0.0
12,1.2942299669288087,0.14851789531090986,-1.6429972457488367,1.9551175132327359,-0.3841992361492639,0.3399269134886467,6.7817073932856315,6.78170739328564,2.733470199012842,2.73347019901284,0.4616780363708711,0.46167803637086946,-0.9801866419374398,-3.638352884180337,0.0658206797306821,-0.58396933624542,0.024427126802947514,-0.018622986884516725,0.0
13,2.1578156541268996,-1.4230758860372603,-1.1881290084026137,1.1926683024176548,-0.27609091408232656,0.20117802176234267,6.589664662263415,6.5896646622634085,2.4450454680647713,2.445045468064761,0.382845912018515,0.38284591201851215,-0.9004938709528598,-4.241912474997653,0.09838445973959159,-0.6301939634310904,0.05039332325438013,-0.07167349729847641,0.0
14,-1.831911731981796,-4.449663265593017,-2.214353371495501,0.17055702594209876,-0.36478834731076815,0.05576819834310265,6.41271442226343,6.412714422263414,2.206365131253633,2.2063651312536217,0.32248464676226907,0.3224846467622663,-0.7793956202118006,-4.909595457509002,0.1402358231665958,-0.7097980539567088,0.03987559194693135,-0.09368906346941666,0.0
15,3.502683860097381,-5.694586233325587,-0.5133111662144119,-0.15839688201336166,-0.13387032206175764,0.012779410774946598,6.2490046831105355,6.249004683110531,2.005664822122084,2.0056648221220787,0.2753494475882447,0.2753494475882433,-0.6231095542073096,-5.667312242969679,0.16871549903764765,-0.8062333772161591,0.019253875502303338,-0.09932906642295118,0.0
16,-3.6409024395402376,-9.857933607673793,-2.2313660305476875,-1.1039662817900684,-0.29706200404405225,-0.0853802115338127,6.097406803800133,6.09740680380013,1.8351783499010546,1.835178349901051,0.23807324350898706,0.2380732435089861,-0.441478117750887,-6.526185986170048,0.19015931728946056,-0.9076783121010027,0.012284969989659675,-0.09074692635360673,0.0
17,-8.61968356133188,-9.424160583453592,-3.127843969517894,-0.846863364148545,-0.35580505016264113,-0.053026646230764696,5.95664781361269,5.956647813612691,1.6889278009835726,1.688927800983569,0.20826258163756817,0.20826258163756722,-0.24799455332511364,-7.480086687142886,0.19923416850549608,-1.0038227829656352,0.004630787502576711,-0.10698829788507173,0.0
18,-11.952542345991729,-13.341733391002755,-3.494684441949047,-1.574594798533541,-0.3571666768124273,-0.11637015024950892,5.825687195586874,5.825687195586889,1.5625122465584078,1.562512246558408,0.18423267264461007,0.18423267264460952,-0.042899403698962724,-8.53765520425298,0.2132984961888612,-1.1115826894965364,0.016389413090989124,-0.09239497890779547,0.0
19,-7.069828065413921,-15.261920141302241,-2.021062862859453,-1.7546001250107608,-0.19217578902374313,-0.12221051458501475,5.703601511758146,5.70360151175815,1.4525503551964427,1.45255035519644,0.16475052741556284,0.16475052741556218,0.17049571477872158,-9.694767169730882,0.2058738672162482,-1.2015398108665378,-0.02500160235799579,-0.09692530758221925,0.0
20,-7.439595397084373,-14.405679056381672,-1.855855904654685,-1.3772402311644019,-0.161347766689643,-0.08138383440327046,5.589620714078294,5.5896207140782925,1.3564397024227972,1.356439702422793,0.14890079258847988,0.14890079258847919,0.35821092567223356,-10.946572401844572,0.1664902431244259,-1.3040938092232688,-0.04427680196848989,-0.08584695597734773,0.0
21,-4.441038255465967,-11.88098398535515,-1.0553216038951594,-0.7033827277301423,-0.08188063459761555,-0.01963511531121409,5.483097776770826,5.48309777677083,1.2721393307587043,1.2721393307587006,0.13598718881438845,0.1359871888143878,0.5035733065348613,-12.289142243810764,0.1266403286808861,-1.3793821710316447,-0.03677067867989206,-0.06930565673900953,0.0
22,-2.0889948449615896,-15.556152350714953,-0.49576222263882186,-1.2618736503279244,-0.031006453185101895,-0.06173924228717664,5.383499169169432,5.383499169169434,1.1980328440901173,1.1980328440901153,0.12546994719206572,0.12546994719206533,0.6107719999991293,-13.70260234591346,0.0901855284265043,-1.4465958622074584,-0.02456034766147238,-0.0761447983542644,0.0
