t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,3.709542416076918,0.7297620311429873,2.473028352949363,0.48650803562751477,0.8243428873592978,0.16216936548033944,9.061831401790005,9.061831401790005,32.19466488495476,32.19466488495476,29.8821770356548,29.8821770356548,0.0015787075403723941,0.008645727234825522,0.0011078356274419631,0.024909068323580967,-0.004582558095858175,0.027180777473971324,0.0
1,-2.8018932838262787,0.03505432088489835,-6.745443890406498,1.0850166354779498,-3.467860682614268,0.6270841065565578,9.053161228374796,9.053161228374794,17.77200214445589,17.772002144455886,17.48939965670556,17.48939965670556,-0.0006049447099821012,0.03397047735959785,-0.009794124815023461,0.0187453315257489,-0.03375630676471368,-0.022373162134347084,0.0
2,-6.995851964382311,-0.07653341769827116,-4.418297062442807,0.09929392361116962,-0.395767663589219,0.0016680545869058871,8.841948696167124,8.84194869616713,13.95786763453382,13.957867634533823,10.684866999383274,10.68486699938328,-0.0305770986709753,0.036725723327388424,-0.05075946696056813,-0.015070533238213533,-0.03341768921844607,-0.036106989595189015,0.0
3,2.6264395630838155,3.6697991739026383,9.066691527023579,3.73109336907151,5.360913319801794,1.5280172283952886,8.65474936911246,8.65474936911247,11.164264487226529,11.164264487226552,6.411060775650505,6.411060775650514,-0.09691034091790789,0.007364494296398709,-0.0831391651851832,-0.04193394898078305,-0.028437912104171112,-0.011938928662287962,0.0
4,2.4668923006112546,10.02669578719764,5.3082362275621335,7.047110551794621,2.3028632571101317,2.209448421774277,8.43008539804128,8.430085398041278,8.853641954715135,8.853641954715135,3.9845043523600068,3.9845043523600054,-0.1844024180145084,-0.03705385047752158,-0.08533915485007457,-0.044184910168838826,0.0024150557559864706,-0.0037261660522635073,0.0
5,1.8394150002078309,12.516608604161458,3.0917876926048358,4.874064290956248,1.0362044752060449,0.8714191085678431,8.167729383399985,8.1677293834,7.118248828655694,7.118248828655727,2.6170871682428727,2.617087168242884,-0.26275216132466894,-0.08301522608278503,-0.0701783085471248,-0.051716859974158536,0.024434150861589548,-0.019981755693454714,0.0
6,3.8179178639980087,1.1899037590840535,3.1562617202934256,-3.8204248579006492,0.7946203183877261,-1.476628508450482,7.894601192474571,7.894601192474592,5.840993497887636,5.840993497887659,1.811002619675438,1.8110026196754443,-0.3169310103173723,-0.15232906036671187,-0.035220374769176846,-0.08594891423583423,0.04616239738077011,-0.0339269684354403,0.0
7,7.000842862398941,-4.121717878270452,3.9029052056292013,-5.1698110208546595,0.7991419265880144,-1.3922556412149447,7.62774987671396,7.627749876713931,4.888543534197411,4.88854353419738,1.309132312340491,1.309132312340482,-0.3368969657988036,-0.2474143383326809,-0.004617680521205113,-0.10255294260498915,0.04293286755120978,-0.02082588329482027,0.0
8,6.950530057726573,2.333509730060186,2.598626119789885,-1.143692048586642,0.3845496225121414,-0.3717061215251176,7.374898743297401,7.374898743297407,4.162840963833814,4.162840963833821,0.9807820249409585,0.9807820249409598,-0.31542422252054453,-0.35955232953290395,0.0509477298554451,-0.12471931992103828,0.061100722986717315,-0.017702764548600328,0.0
9,-3.0786524457272755,-4.200685214627754,-2.303215888304915,-3.670023615359959,-0.5290916786872186,-0.7452731635796632,7.138710191707362,7.138710191707369,3.5975543117534854,3.597554311753497,0.7566878834251204,0.7566878834251227,-0.22517530859796245,-0.4919189430669999,0.13583351155855472,-0.1456166889918345,0.09840220275843854,-0.035583308300746026,0.0
