t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,0.7070725899751689,2.337443250059882,0.40213283970735264,1.3293722669045522,8.757690468311583,8.757690468311583,27.32141609383405,27.32141609383405,0.0015787075403723941,0.008645727234825522,0.0011078356274419631,0.024909068323580967,-0.004582558095858175,0.027180777473971324,0.0
1,-8.846591554196076,2.5899870653600328,-10.418679902636564,1.3439097206349262,8.605738539302871,8.605738539302871,13.230555529708727,13.230555529708727,-0.0006049447099821012,0.03397047735959785,-0.009794124815023461,0.0187453315257489,-0.03375630676471368,-0.022373162134347084,0.0
2,-9.321075277197366,2.6885630595024383,-4.728635821413203,1.2544845494518873,8.208841601961886,8.208841601961886,8.614225332663793,8.614225332663791,-0.0305770986709753,0.036725723327388424,-0.05075946696056813,-0.015070533238213533,-0.03341768921844607,-0.036106989595189015,0.0
3,-2.214513945102076,3.4459593729679674,1.9702033937744563,1.627453109122214,7.836915967080631,7.83691596708063,6.699118321402777,6.699118321402775,-0.09691034091790789,0.007364494296398709,-0.0831391651851832,-0.04193394898078305,-0.028437912104171112,-0.011938928662287962,0.0
4,0.7575147959771256,8.521204358799285,2.901066216667277,3.8599722918152892,7.571262927896871,7.571262927896871,5.597357805752266,5.597357805752266,-0.1844024180145084,-0.03705385047752158,-0.08533915485007457,-0.044184910168838826,0.0024150557559864706,-0.0037261660522635073,0.0
5,-0.9908643951775047,8.796836498849025,0.9814098025827538,2.24780904473913,7.368181897495803,7.368181897495805,4.811035066630447,4.811035066630447,-0.26275216132466894,-0.08301522608278503,-0.0701783085471248,-0.051716859974158536,0.024434150861589548,-0.019981755693454714,0.0
6,1.84648143885301,-1.521597419962971,1.738504422644529,-3.4967340894686423,7.189783536816299,7.189783536816292,4.188806852776793,4.188806852776788,-0.3169310103173723,-0.15232906036671187,-0.035220374769176846,-0.08594891423583423,0.04616239738077011,-0.0339269684354403,0.0
7,6.581784537243701,-2.7089652014055376,3.1148407957125768,-3.3195592448881435,7.019196335976044,7.019196335976041,3.6778423140162664,3.677842314016264,-0.3368969657988036,-0.2474143383326809,-0.004617680521205113,-0.10255294260498915,0.04293286755120978,-0.02082588329482027,0.0
8,6.067940305784197,3.8626991419429526,2.0454375767935855,-0.22755419341316951,6.85207423757378,6.85207423757378,3.253010150666059,3.253010150666058,-0.31542422252054453,-0.35955232953290395,0.0509477298554451,-0.12471931992103828,0.061100722986717315,-0.017702764548600328,0.0
9,-4.01972365207261,-2.160288003247186,-2.0545348217034975,-2.3644151823899486,6.688788178553262,6.688788178553259,2.8975693779683924,2.8975693779683906,-0.22517530859796245,-0.4919189430669999,0.13583351155855472,-0.1456166889918345,0.09840220275843854,-0.035583308300746026,0.0
10,-5.088521998989289,-5.775012426188588,-2.0714312967725435,-3.0217798040509463,6.530684646330847,6.530684646330849,2.598446534518253,2.5984465345182524,-0.02695370318333143,-0.6610747646758968,0.26859457646138,-0.20023009735043515,0.15467229325338328,-0.07867961198606249,0.0
