t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-9.025718879456756,5.0129443900437245,-5.0315855116270045,2.7945761108232077,8.955447563388576,8.955447563388576,26.731664157506618,26.731664157506618,0.001750348642988057,-0.0032713196432725238,0.004787197601190703,-0.017438921279011498,0.011135337256212,-0.04352547211022684,0.0
1,2.3904819381192683,-13.79668883262248,10.150253657655115,-16.980371305773044,8.76991891361392,8.76991891361392,12.972919024761966,12.972919024761966,0.007365656877570823,-0.05118948511502294,0.0049054984102361796,-0.08357881526269931,-0.0017717552895062261,-0.09032068559211032,0.0
2,3.6112047469873216,-0.7440742870442385,4.620566860309946,2.951554327233938,8.330773154333507,8.330773154333508,8.187237289405552,8.187237289405553,0.004255383906987988,-0.17886244415655048,-0.015395896660314762,-0.16913415817975735,-0.01719851938570205,-0.07874712164661866,0.0
3,8.00580568418066,-0.8849932416424577,4.226354730465047,1.7084512065278665,7.895353108358649,7.89535310835865,6.175933450088646,6.175933450088644,-0.020989960342018336,-0.38644592902219865,-0.04190156796727858,-0.24812428661645464,-0.04474984775564671,-0.0881438138388908,0.0
4,11.161796121177863,-5.727581842274266,3.661761236646377,-0.7578268396493906,7.5769944825344995,7.5769944825344995,5.103363528820834,5.103363528820831,-0.09481436013207704,-0.6741579759939725,-0.10748139593224063,-0.32791145835829155,-0.06802375475783906,-0.08410073238116139,0.0
5,5.742624723884603,-6.567380284699602,-0.34229005102225685,-0.6767201717756679,7.346739560921092,7.346739560921095,4.406429408206025,4.406429408206024,-0.22708911375822843,-1.042250228774145,-0.1526995287452457,-0.4048968271645921,-0.025473199179793293,-0.07488797598078388,0.0
6,5.677658848996106,-5.9475446113739325,-1.0376535821523643,-0.21140160951499265,7.1630506036335,7.163050603633496,3.875749025109307,3.8757490251093034,-0.38758532264557394,-1.4919037873363068,-0.17008751343784292,-0.5037214711578115,-0.019603786841827203,-0.12816643197148883,0.0
7,5.39891547134294,-3.888275491309357,-1.2540467932915318,0.5040146291509595,7.002446984230174,7.002446984230172,3.454176469771991,3.454176469771989,-0.565638879615283,-2.0633683042883098,-0.18407251982815392,-0.6401401487036599,-0.015741488614103762,-0.14555258591089104,0.0
8,4.0627157748337055,-13.618485481287363,-1.4978815424339746,-3.1067460139375624,6.846940928122736,6.846940928122738,3.0931558908384673,3.0931558908384664,-0.7558054885037082,-2.7815238129205597,-0.19210552616076568,-0.8008946804462244,0.0046636287508873345,-0.17537039132768367,0.0
9,0.8762294254551168,-11.242272524700399,-2.3143727814064032,-1.5938980456523222,6.697069670018892,6.697069670018893,2.782554353899614,2.782554353899611,-0.9467836715635654,-3.6744794452804883,-0.1935598821258107,-0.9833424351501407,-0.015458509632413759,-0.15727243141519995,0.0
