t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-3.8025454777,-2.053070469698386,10.167545951680648,10.167545951680648,-0.00318576187511128,-0.003062687208254285,-0.011912610027793157,-0.012125605524045407,-0.028857623291892398,-0.030303011498013937,0.0
1,-3.5098010602912693,-4.768537885075968,8.847490063634105,8.847490063634105,-0.039804256252949616,-0.03527999754711773,-0.06280847428634413,-0.05106232669581779,-0.0472687007104889,-0.02612414030129442,0.0
2,3.168260176508626,3.4873684203213884,10.109571580856485,10.109571580856485,-0.12370748625567098,-0.10253817373359099,-0.10747985023772455,-0.08425272635086285,-0.04804928875409038,-0.032142084147370985,1.0
3,-1.7155233914149575,3.9790163626492383,8.702112131611145,8.702112131611145,-0.2521312467693374,-0.20574408768946087,-0.15053918049531248,-0.12840121688976325,-0.047460072690333165,-0.06918228060989784,0.0
4,1.3856556495886958,-8.709560968953413,8.50807243823174,8.50807243823174,-0.41980024689176737,-0.3655097218257537,-0.17967046196996445,-0.192679010689533,-0.018394735405094433,-0.06306183167406286,0.0
5,9.716786784451575,-9.38971533743692,9.798433530089131,9.79843353008913,-0.6026691650621261,-0.5932499655117561,-0.17873909858879627,-0.2631628094462377,0.019501695256039196,-0.0635011446150211,1.0
6,3.561971454771385,-9.160950876877063,9.22067392892076,9.22067392892076,-0.7634987425611718,-0.880896107606937,-0.14288236949188393,-0.3122114469110141,0.0343675592125874,-0.05311368651647903,1.0
7,3.389537484516062,-6.1866143044398205,7.821226215684901,7.821226215684902,-0.891093271734807,-1.219247551018611,-0.11392100322579564,-0.3644046333705951,0.021898737864908913,-0.050526347717113534,0.0
8,4.783567155194664,-4.9194654494485395,7.285381809553403,7.285381809553403,-0.9859673646266752,-1.6104405978139935,-0.07499247159513897,-0.41924141030914874,0.027604915539427392,-0.06611683461795026,0.0
9,4.371679979216517,-7.265710925616694,6.99603383063536,6.99603383063536,-1.0446066038296826,-2.057006573059158,-0.040049781021148444,-0.47060170259756273,0.04138559393467077,-0.03894775155049032,0.0
10,6.949976142127617,-2.697167740364196,6.780420597936527,6.780420597936527,-1.0631873310796256,-2.5458938703594542,0.004132489252336049,-0.5036703770196397,0.038443316759127585,-0.02688507304056688,0.0
11,5.700692046024897,1.3338396435490654,6.600435699204455,6.600435699204454,-1.0357576121582637,-3.071445281402537,0.04589661798119941,-0.5458071841939967,0.017863132590952253,-0.041612805282881846,0.0
12,3.158228563621824,0.8258101041808722,6.4379046199394665,6.437904619939466,-0.9801866419374398,-3.638352884180337,0.0658206797306821,-0.58396933624542,0.024427126802947514,-0.018622986884516725,0.0
13,4.486428860241474,-2.5498892481822617,6.288313118450928,6.288313118450926,-0.9004938709528598,-4.241912474997653,0.09838445973959159,-0.6301939634310904,0.05039332325438013,-0.07167349729847641,0.0
14,-0.4004027132732112,-5.411919524057992,6.1489824467949346,6.148982446794932,-0.7793956202118006,-4.909595457509002,0.1402358231665958,-0.7097980539567088,0.03987559194693135,-0.09368906346941666,0.0
15,-0.31751804021348334,-3.3151795441045104,6.01878423600428,6.018784236004275,-0.6231095542073096,-5.667312242969679,0.16871549903764765,-0.8062333772161591,0.019253875502303338,-0.09932906642295118,0.0
16,-3.4296445533875155,-11.150346200481021,5.8967610763953004,5.896761076395299,-0.441478117750887,-6.526185986170048,0.19015931728946056,-0.9076783121010027,0.012284969989659675,-0.09074692635360673,0.0
17,-5.278381542454697,-9.29462270252207,5.7821751250837305,5.782175125083727,-0.24799455332511364,-7.480086687142886,0.19923416850549608,-1.0038227829656352,0.004630787502576711,-0.10698829788507173,0.0
18,-9.415337956665608,-12.416047169058853,5.674369842121702,5.6743698421217,-0.042899403698962724,-8.53765520425298,0.2132984961888612,-1.1115826894965364,0.016389413090989124,-0.09239497890779547,0.0
19,-6.075254434652244,-13.670029741170339,5.57279137880701,5.57279137880701,0.17049571477872158,-9.694767169730882,0.2058738672162482,-1.2015398108665378,-0.02500160235799579,-0.09692530758221925,0.0
20,-5.62875440316999,-15.134406777005939,5.47697085358936,5.476970853589359,0.35821092567223356,-10.946572401844572,0.1664902431244259,-1.3040938092232688,-0.04427680196848989,-0.08584695597734773,0.0
21,-2.3810179864069347,-13.255989950125066,5.386521882362996,5.386521882362994,0.5035733065348613,-12.289142243810764,0.1266403286808861,-1.3793821710316447,-0.03677067867989206,-0.06930565673900953,0.0
