t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-8.356870253083438,-1.0767150068731446,9.071148590226592,9.071148590226592,0.001750348642988057,-0.0032713196432725238,0.004787197601190703,-0.017438921279011498,0.011135337256212,-0.04352547211022684,0.0
1,-1.7342931978653122,-12.169808661761001,7.949308033009352,7.949308033009352,0.007365656877570823,-0.05118948511502294,0.0049054984102361796,-0.08357881526269931,-0.0017717552895062261,-0.09032068559211032,0.0
2,4.829617534004645,-4.534673368773615,7.547245784055502,7.547245784055502,0.004255383906987988,-0.17886244415655048,-0.015395896660314762,-0.16913415817975735,-0.01719851938570205,-0.07874712164661866,0.0
3,10.126654448368086,-3.9810097133058715,7.331501064325162,7.331501064325164,-0.020989960342018336,-0.38644592902219865,-0.04190156796727858,-0.24812428661645464,-0.04474984775564671,-0.0881438138388908,0.0
4,5.1695821384767076,-7.972613027661138,7.165836785648518,7.165836785648519,-0.09481436013207704,-0.6741579759939725,-0.10748139593224063,-0.32791145835829155,-0.06802375475783906,-0.08410073238116139,0.0
5,7.477795239005169,-5.7408771216474195,6.999324281622748,6.999324281622748,-0.22708911375822843,-1.042250228774145,-0.1526995287452457,-0.4048968271645921,-0.025473199179793293,-0.07488797598078388,0.0
6,4.309641249800278,-4.78379209072309,6.860281386924523,6.860281386924522,-0.38758532264557394,-1.4919037873363068,-0.17008751343784292,-0.5037214711578115,-0.019603786841827203,-0.12816643197148883,0.0
7,-2.2991548011109226,-2.055765007093984,6.69675223870003,6.696752238700029,-0.565638879615283,-2.0633683042883098,-0.18407251982815392,-0.6401401487036599,-0.015741488614103762,-0.14555258591089104,0.0
8,0.18510040570123568,-13.224938857618264,6.542959325037626,6.542959325037626,-0.7558054885037082,-2.7815238129205597,-0.19210552616076568,-0.8008946804462244,0.0046636287508873345,-0.17537039132768367,0.0
9,-1.9679848117309158,-7.927782245403375,6.395747526754984,6.395747526754981,-0.9467836715635654,-3.6744794452804883,-0.1935598821258107,-0.9833424351501407,-0.015458509632413759,-0.15727243141519995,0.0
10,-8.370674703695176,-9.778665241887797,6.254526110196624,6.254526110196625,-1.1470357931165795,-4.747303169535502,-0.20823031860415836,-1.1694750288251765,-0.029426345563918533,-0.19236198797927279,0.0
11,-7.984925949503312,-4.987431209521689,6.119543271056418,6.119543271056422,-1.366271564683165,-5.999359455349953,-0.2286203963041757,-1.3319508297930764,-0.011611266899512293,-0.16555657296072515,0.0
12,-10.511929517626676,-8.555409554042482,5.990948609855349,5.990948609855354,-1.6067765709713937,-7.413060722928849,-0.26151011797586826,-1.4976489108392568,-0.047292092667089586,-0.16293684161736613,0.0
13,-4.959590362924518,-5.050641989372689,5.868792015753236,5.868792015753239,-1.8872780624611103,-8.985205133968622,-0.2980943618176961,-1.64321911951216,-0.03575076192852024,-0.13102710575114865,0.0
14,-3.286830784432977,-6.2034792878923675,5.752950813829387,5.752950813829388,-2.2059045794859435,-10.701609441669813,-0.34289975252965715,-1.7907648161886078,-0.050725717050150915,-0.155361884095681,0.0
