t,rwm_x1,rwm_x2,cvm_x1,cvm_x2,cam_x1,cam_x2
0,14.055215676770223,12.247856534934508,14.488679261294568,14.609935386210665,16.05350336744064,15.33324027293494
1,13.47006097528926,12.617370660088346,16.447615149829804,16.96888950629722,18.052159187535935,18.239810960793434
2,12.991387798495504,12.490503686267234,17.36529054730299,17.399482886908775,19.19678292895846,19.60863579192528
3,12.627605867721398,12.145512369395233,17.496727308008264,17.562935798559185,19.713315051361395,20.20855669329685
4,12.2395766848475,11.773564054374498,17.52132511868254,17.29425583837876,20.21493438654855,20.315489188961998
5,11.869011341352877,11.477995686116378,17.43251954698823,17.035554428658134,20.236737249968073,20.53745730114663
6,11.524526464991293,11.205452161667687,17.259889980277276,16.77873919331814,20.14498064550942,20.533485242058287
7,11.18801485800773,10.89054999006663,17.04354265824136,16.566966277034915,20.07206965246321,20.445511638058054
8,10.880747853422243,10.599849579616535,16.84212715853753,16.300294335448804,19.939099005140356,20.323981309928808
9,10.626918345423594,10.312867528375293,16.585681529415382,16.029915613543288,19.776887089875615,20.202830225725606
10,10.397778539345758,10.08258210169509,16.379108621708077,15.745439991278358,19.579421415127754,20.05100515931742
11,10.206979195007731,9.907782846965118,16.143586719128585,15.503126775751623,19.356368514202828,19.853204750186507
12,10.057626072977243,9.737085723874431,15.897815916223694,15.320423702976843,19.138605766667865,19.64717709075182
13,9.915939143380706,9.591609000655678,15.644584771338337,15.128596052581715,18.952067647823494,19.434729401816213
14,9.806036131810615,9.450117920498514,15.429203509979288,14.952696094400402,18.792516694505377,19.210885436439522
15,9.711354802151787,9.329451376330308,15.207559487392762,14.762815277902146,18.664850603754715,19.003020996063416
16,9.614653682178407,9.222045695339888,15.004093894835218,14.597851366090316,18.52800371145091,18.823012898222018
17,9.52725808131317,9.132732940038874,14.830339909663847,14.430559845986792,18.38526258677038,18.645025820001347
18,9.470279930038322,9.06537422833945,14.652174907350984,14.258505188386529,18.20890561126011,18.483150161154484
19,9.416850191163912,9.019347765625248,14.490909194383295,14.097711862040198,18.060032534025733,18.33069641717812
20,9.360582762059662,8.982719646062584,14.334705415293255,13.933487175306116,17.921687331419545,18.17257677800537
21,9.318285475397616,8.960042064472406,14.187620565593766,13.785668836334455,17.79893646858333,18.020318183838977
22,9.281059723171804,8.954434076446288,14.045730397344704,13.656009854884271,17.66217754669663,17.87074467934121
23,9.264973725606291,8.967975382911758,13.896786036887459,13.52603402814666,17.51526690836079,17.73599232597736
24,9.256612722125546,8.978168171773603,13.761497772485988,13.39463057982311,17.368293008138487,17.60422653244772
25,9.255598647133052,9.022972550538334,13.638328594879042,13.277762147893693,17.22277268520694,17.46450343396083
26,9.283477885175294,9.082991889949858,13.514699192752232,13.164927689494236,17.076586894155646,17.311594838914555
27,9.334580820232246,9.176363997685662,13.39865287473051,13.054404075825907,16.947793032016186,17.164100846961816
28,9.403432617268667,9.291046483928715,13.287795671937575,12.954763116175606,16.822536147084445,17.025443723294583
29,9.489844230836514,9.436520090304185,13.186613034267273,12.867233401805484,16.697664160700572,16.899847450247936
30,9.60330636289028,9.594563424288559,13.096291734784105,12.787601001850271,16.57975084430896,16.777220371421944
31,9.736178177116159,9.747383822157614,13.01530157878512,12.713562952706956,16.464808768960005,16.65861201138922
32,9.894565734256151,9.912952775697384,12.942078247109821,12.647881461278748,16.348913144864948,16.537956893328673
33,10.081780065968404,10.095835933064498,12.869991001797393,12.590270971554297,16.24060313082561,16.420327543874926
34,10.27552878445618,10.287046231573582,12.813290266631572,12.54114448105633,16.13687925014265,16.301568399879617
35,10.487805218803274,10.509132544155698,12.761324979205165,12.508737348846212,16.041181587783257,16.180836442161233
36,10.704127643369027,10.737261473373067,12.714709643231984,12.480590387473393,15.949000053685504,16.064397109622742
37,10.930303365936048,10.979203622293648,12.674413397620398,12.458510756227374,15.856523033580423,15.95272087546283
38,11.184419221314448,11.227432889412018,12.638774648061524,12.441905777318146,15.764674433818847,15.851378598839913
39,11.450346138907426,11.497832790066598,12.611873774044119,12.435232352778746,15.671299217136385,15.75284154412584
40,11.724221326871143,11.782582846084107,12.584918933013974,12.429528056291318,15.57929015422463,15.657607915658808
41,12.008522946388888,12.091862290206263,12.574175961631324,12.426527822194522,15.490366915128247,15.564871517277094
42,12.299480363799725,12.423692370042358,12.568904977113936,12.441037595853839,15.40218512064516,15.475699559121171
43,12.603799854290314,12.760662217788344,12.572935201081158,12.469706768115147,15.306934157187573,15.388304564483708
44,12.909032558195747,13.111190789382738,12.58195341865756,12.509385100001023,15.215633866282403,15.307039775463515
45,13.223582403430212,13.469606741983869,12.601513673728913,12.556124889598223,15.132385167050831,15.229970905772007
46,13.557760824389105,13.842728520965181,12.629212142618828,12.60907999529801,15.049926333090292,15.155372176435112
47,13.900323601091538,14.220508329430556,12.661460770067324,12.668015429419652,14.96863169250954,15.080401481208444
48,14.243775463922338,14.608422539658145,12.696872558973356,12.724022779483885,14.8920517350139,15.00719201348058
49,14.59733126500431,15.000440560063971,12.737547746516068,12.785629579357169,14.821023208878819,14.935381383932823
50,14.965741024309043,15.409532958153978,12.783623584565698,12.851212213714621,14.750834190047545,14.864916019116016
51,15.344295867507512,15.82302463712956,12.835947162422126,12.918679513925206,14.684755908256665,14.795696916680207
52,15.736810841805333,16.25734776858491,12.897498349116686,12.991827676403933,14.617642742625126,14.730976129755291
53,16.147451940908983,16.69682222967689,12.964116606327753,13.063479819421772,14.55214410850931,14.664194001343235
54,16.56653593492134,17.134876533759467,13.02873104684929,13.141859269981808,14.487925844184822,14.595771167882624
55,16.989755679215552,17.580844482674024,13.096122257375834,13.221731345116359,14.42317069589882,14.530671245393801
56,17.42153872426949,18.046000095367408,13.1649827437175,13.310880461504055,14.362440302508704,14.467538805206319
57,17.85630129401687,18.530821902540193,13.23971825690864,13.403823415482472,14.303505104172515,14.407321963587606
58,18.29134831515887,19.020283343535674,13.32221660545532,13.511907272487042,14.247116601141634,14.345410968795768
59,18.73363859184858,19.519040407967033,13.40901653577787,13.633220216505997,14.19571932748133,14.28785150927521
60,19.191629011233836,20.028193946860096,13.496453953248556,13.7511836728321,14.14327674336763,14.231687262301959
61,19.65418735588331,20.549153587185764,13.585229437195169,13.873836279924125,14.091501486915053,14.177651480779739
62,20.123352339159844,21.083671871327233,13.677338473941212,14.00449561731488,14.040565406959471,14.125806780773546
63,20.599569217709668,21.61356910312114,13.76882801545024,14.139845784968989,13.992912990792286,14.071879383960008
64,21.076797064232228,22.153585500830545,13.86496126068375,14.271099528302587,13.946959209980584,14.019465852279781
65,21.568099798998734,22.691531011769097,13.961563544072655,14.398245661840717,13.90028371286136,13.969748966468925
