t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-20.085911574413746,5.450905330450849,20.00003239978713,20.00003239978713,-0.009746559818330133,0.0017054847845369594,-0.023449238724910556,0.005958403925609841,-0.035338977673999995,0.011923968761522291,0.0
1,-25.912529166204106,9.333993439025173,16.116580497464486,16.116580497464486,-0.04984122065871695,0.016620930903597092,-0.0543250086521619,0.02175560714015497,-0.032782299302173655,0.004759584460235873,0.0
2,-3.490375349275368,24.568360183374303,14.051337228161568,14.051337228161568,-0.12255995819906125,0.033498498730322235,-0.0937198036203004,0.007636752684849493,-0.03687334836056014,-0.012152976731872761,0.0
3,-4.706554690391765,11.016908298910753,12.743106638206548,12.743106638206548,-0.23322496578597526,0.0327999603805075,-0.12608782952887665,-0.012122717522429705,-0.04367321639368649,-0.030698921295918204,0.0
4,0.5252178331895596,13.157613576052556,11.832855988499528,11.832855988499528,-0.37654363840280347,0.0021109589718775745,-0.15517052488474803,-0.04939167636190573,-0.003158509682270584,-0.04380340439689903,0.0
5,-7.1321359155238815,5.505190270259505,11.161241483432134,11.161241483432134,-0.5327909735641188,-0.0682568312055049,-0.15641517105684577,-0.09173123935717632,-0.004990953379594325,-0.04411305031279401,0.0
6,-0.9261824651215731,4.875597905639787,10.645444910275195,10.645444910275195,-0.690860120257949,-0.19092376054313479,-0.157504999223541,-0.16124060988038214,-0.0049777126585573124,-0.09559238138302824,0.0
7,-1.1041166467790227,-0.45117707564512255,10.237664473155137,10.237664473155137,-0.8488352650179801,-0.39404804135552585,-0.152040889408858,-0.24532076602307434,0.028737452307595297,-0.09570739376505302,0.0
8,-8.968172920782482,-0.17066709349432668,9.90815688785291,9.90815688785291,-0.9866869621688181,-0.6902418962512448,-0.1293612107259412,-0.3431259527661903,0.019836038449827766,-0.07956847039627257,0.0
9,-3.0066276061265844,5.376741116835079,9.637336458340718,9.637336458340718,-1.11087598294144,-1.0680409371243142,-0.12109356658435179,-0.4102748793760235,0.013346933700336742,-0.062120953090714415,0.0
10,0.6241712942839621,5.088133498372965,9.411721666876362,9.411721666876362,-1.2335553720264079,-1.5077895254774305,-0.12523488554507647,-0.471211244885884,0.0010142658036595403,-0.06849715228012516,0.0
11,0.022273510656947604,0.927514248300203,9.221695933603284,9.221695933603284,-1.3495367362154727,-2.0079266257621593,-0.10535465833895843,-0.5240124743055631,0.0017547747898294377,-0.028010906903212222,0.0
12,-1.8844487851413532,2.503866057247724,9.060195670441303,9.060195670441303,-1.4515855618825677,-2.5431255895267024,-0.10000212941156937,-0.5414605585470903,-0.003006628769635758,-0.008167191487001246,0.0
13,-1.1520375862752392,5.581980937793457,8.921903884136896,8.921903884136896,-1.5533068200703422,-3.0921863379283967,-0.10234196673576454,-0.5597971429193122,-0.0013112429366653406,-0.036528380350504375,0.0
14,-3.896540477829527,4.390090428058904,8.802734351143524,8.802734351143524,-1.652949890495992,-3.6730349908614373,-0.09378562240958266,-0.6055947388372053,0.02520962678149284,-0.05387093555743,0.0
15,1.70585543084536,2.622516875410664,8.699490339300198,8.699490339300198,-1.7300741930974757,-4.298419511790965,-0.05790339883118891,-0.6435349382842844,0.045842735973900456,-0.04213349792244273,0.0
16,0.13167253773942056,1.0474236852101224,8.609632182414781,8.609632182414781,-1.7568692401599133,-4.967631897699668,0.004856628534137514,-0.6958086417756495,0.05652007314734425,-0.04904078565017035,0.0
17,-1.9677632336386726,-0.8946666026795453,8.531114961792762,8.531114961792762,-1.7256744400528274,-5.685401013399973,0.057704960641875,-0.7393142438180471,0.05661669297853877,-0.04352134368894097,0.0
18,0.6216201845094442,-2.1247370378077783,8.462272623468541,8.462272623468541,-1.6445794269082736,-6.452819004230097,0.10128558510955671,-0.798235580847245,0.04130944423445405,-0.06218895817218162,0.0
19,-2.9160089885003035,-2.487432833548709,8.401733618617834,8.401733618617834,-1.5273543005606132,-7.280474726148026,0.13421256259309416,-0.8658699775755555,0.03784146746847626,-0.09826911842092269,0.0
20,-1.4567394408075676,-7.565124580183557,8.348358415162114,8.348358415162114,-1.3661838082892934,-8.19192866865532,0.19485351206234966,-0.9518267056572629,0.08022820208231199,-0.059570042567798256,0.0
21,-5.3517048482690335,-4.0007309408066885,8.301192481842705,8.301192481842705,-1.130222610778004,-9.167781090997773,0.2787930446903894,-0.9981327606743332,0.10209628781986056,-0.036778394949289306,0.0
22,-0.7237541518400477,-4.773888455914083,8.259430410953195,8.259430410953195,-0.8017154581442888,-10.182896512755162,0.3793548775546374,-1.0258770179369314,0.10852430320329326,-0.0010678624138524273,0.0
23,-0.6082025147687002,-1.8433413604498257,8.222388187418643,8.222388187418643,-0.3600333748079915,-11.21966852596019,0.5068831015853964,-1.0561125830842224,0.12739536811575394,-0.04399146132031597,0.0
24,-0.803641431747599,-3.884390519650874,8.18948150189225,8.18948150189225,0.2156546957206351,-12.301046183117032,0.6517142357761992,-1.1014700822196493,0.1695319096838388,-0.022132440700992462,0.0
25,-2.5682316753062198,-7.694684912192068,8.160208607284048,8.160208607284048,0.9482525923761198,-13.416763388795484,0.8129513135136152,-1.127124290508042,0.17166606533173995,-0.0255810493751797,0.0
26,-1.846101668381809,-7.455258317257703,8.13413663207496,8.13413663207496,1.8371449014128884,-14.552741148654471,0.9594417957748224,-1.1345464600557311,0.1414715181102762,0.022805348083576447,0.0
27,-2.1274618994559678,-10.213920439043967,8.110890553041763,8.110890553041763,2.870386067699656,-15.673231953402524,1.1085622447629513,-1.0982755500963093,0.15594834705568675,0.05945873487460075,0.0
28,-4.60328436317832,-10.46955808058371,8.090144235113403,8.090144235113403,4.057318076273077,-16.74425369318313,1.2635675883200748,-1.0407344301460992,0.15584544610657128,0.06087136676758657,0.0
29,0.4486861562669402,-11.762708914740395,8.071613093439172,8.071613093439172,5.395285510506962,-17.760383567817467,1.4137044537520707,-0.9921408688070136,0.15301212406594333,0.06040259213810128,0.0
30,-0.1893732693617336,-9.177113739576793,8.055048039935722,8.055048039935722,6.876900699441243,-18.725158733920154,1.5490698844104014,-0.9393348189148161,0.13960013631971696,0.049424808143785276,0.0
31,3.0380925279463815,-15.592985169715721,8.040230455436795,8.040230455436795,8.493092935223624,-19.63846352102265,1.678199926136682,-0.8800267531531751,0.11808995730725431,0.07536850906456319,0.0
32,4.120434266946442,-18.449473383108405,8.026967987200996,8.026967987200996,10.23552361735138,-20.481362472776645,1.810626910424819,-0.8037779166705209,0.1284784539358705,0.081971959273515,0.0
33,6.407770418730745,-16.527828277552608,8.015091015557777,8.015091015557777,12.106086794674644,-21.240003306613293,1.9255332998989623,-0.7124995119347972,0.1011904772993559,0.0970417398351081,0.0
34,5.029275319180304,-16.638644921189226,8.004449666834597,8.004449666834597,14.070215189969542,-21.90711591416245,1.99709959002331,-0.6211610673951095,0.06428987142523679,0.08760351982207598,0.0
35,7.196007083906759,-14.284788516974146,7.994911275210127,7.994911275210127,16.10121216839744,-22.481533359197293,2.069594542899245,-0.52814461656655,0.09061422154149665,0.08509047043897959,0.0
36,6.84094498617211,-16.43983168613167,7.986358215790354,7.986358215790354,18.217668398520527,-22.96837956162293,2.161633408447735,-0.4451840680020568,0.08315005415600482,0.0716045032327026,0.0
37,4.066090466153927,-17.35231318363851,7.978686046464592,7.978686046464592,20.432522650970377,-23.370563783629123,2.272804223540921,-0.3580442219683565,0.12076171155147643,0.0942866957668952,0.0
38,4.962188535650749,-21.317024945435524,7.9718019080343305,7.9718019080343305,22.768153498693064,-23.682869611584074,2.399072433701891,-0.26574041848567914,0.14565488634428203,0.10063426628794848,0.0
39,4.651980643238314,-16.768608551655014,7.965623141507969,7.965623141507969,25.241703527810632,-23.903202228381634,2.544814006889928,-0.18048954502599113,0.11945853221340479,0.07272546254295664,0.0
40,8.31960200864246,-22.41120128143417,7.960076088906053,7.960076088906053,27.845175271722155,-24.048266351042397,2.6583853136930546,-0.11180915322730255,0.09626017140096126,0.06819659991063683,0.0
41,11.7792293970858,-22.68260776210319,7.955095049865584,7.955095049865584,30.550474489537244,-24.126697120877015,2.752129469407878,-0.04121452605576923,0.09555805970626542,0.08338154766219068,0.0
42,13.773907945637502,-25.96865168386592,7.950621371101701,7.950621371101701,33.35238183469361,-24.1224973048655,2.850133695038628,0.04842543579500957,0.08211354535653759,0.07526967816763123,0.0
43,20.339221879615593,-20.714102804055457,7.946602649634643,7.946602649634643,36.249914217109165,-24.04494742320136,2.94755471106871,0.09986839519629173,0.09320150764014876,0.03865171066805989,0.0
44,22.96201771031239,-16.96603046949918,7.942992033813926,7.942992033813926,39.24316774958431,-23.92242087488307,3.0441587732157154,0.14304455959483034,0.11275149446262751,0.02003258801566025,0.0
45,25.221050809383275,-13.900548634243151,7.939747608720666,7.939747608720666,42.338546070331944,-23.766267202900316,3.1435907715011218,0.1706568372956515,0.0934158489986629,0.03171304271358503,0.0
46,26.527343320738467,-21.907923250943288,7.936831854619317,7.936831854619317,45.53163970511896,-23.57772063264335,3.2464426032051223,0.20526447439145812,0.12130418359118374,0.025576257372770157,0.0
47,29.184735374891485,-25.49588470258038,7.934211168852998,7.934211168852998,48.82741268220364,-23.34667812042862,3.3365750208013045,0.26500222357427017,0.06628660037570258,0.0745228311128065,0.0
48,32.69335690540687,-22.058117285210034,7.931855443003524,7.931855443003524,52.19377789770776,-23.043763667864503,3.4000456712179288,0.3407569042988287,0.06607745439323742,0.07649001111759918,0.0
49,34.37361302175577,-21.77758330508421,7.929737688324553,7.929737688324553,55.62240667360329,-22.66367052170624,3.450108650190412,0.41571138245951633,0.04600478074225271,0.04675097867394399,0.0
50,38.18561876594612,-27.298167898353565,7.927833703448678,7.927833703448678,59.09110205869324,-22.221505275194747,3.489443394565635,0.4737356790019218,0.049064936021934305,0.07364634662510033,0.0
51,41.115242913381316,-26.03872708336189,7.926121779202556,7.926121779202556,62.60584529427811,-21.711769438576404,3.5376610157799537,0.5450016333968953,0.04386802081808168,0.06789791555703191,0.0
52,44.37875621597337,-27.677129734994846,7.924582436066595,7.924582436066595,66.15464226857105,-21.131518376353537,3.5590572035669577,0.614540541828633,0.0233421546029488,0.05369459239636559,0.0
53,50.18136859447218,-29.155388165906523,7.923198190410483,7.923198190410483,69.72298405035804,-20.490642522146352,3.5811825379968916,0.664352056089709,0.023635170852443946,0.042580987714005654,0.0
54,51.695676999737366,-25.975483152936356,7.9219533461413,7.9219533461413,73.3122736463928,-19.811918234208306,3.6016056974019985,0.6893455629382221,0.02267510872503653,0.015832232464328966,0.0
